"","time_s","hpv","value","uptake","uptake1"
"1",0,100,3.3556,0.514334535788874,0.585685884691849
"2",30,100,3.3577,0.518321625213594,0.58986083499006
"3",60,99.76,NA,NA,NA
"4",90,97.05,3.3609,0.524397190051263,0.596222664015905
"5",120,83.09,3.3593,0.521359407632429,0.593041749502983
"6",150,72.53,3.3571,0.517182456806532,0.588667992047714
"7",180,65.29,3.3548,0.512815644579457,0.584095427435388
"8",210,59.79,NA,NA,NA
"9",240,55.98,3.3518,0.507119802544143,0.578131212723658
"10",270,53.01,3.3468,0.497626732485286,0.568190854870776
"11",300,50.61,3.3442,0.49269033605468,0.563021868787276
"12",330,48.61,NA,NA,NA
"13",360,47.06,NA,NA,NA
"14",390,45.69,3.3324,0.470286690715778,0.539562624254473
"15",420,44.55,3.3286,0.463071957471046,0.532007952286282
"16",450,43.6,3.3279,0.461742927662807,0.530616302186879
"17",480,42.7,NA,NA,NA
"18",510,41.89,NA,NA,NA
"19",540,41.18,3.3166,0.44028858932979,0.508151093439365
"20",570,40.57,3.3152,0.43763052971331,0.505367793240557
"21",600,40.01,3.3132,0.433833301689767,0.501391650099404
"22",630,39.51,NA,NA,NA
"23",660,39,NA,NA,NA
"24",690,38.53,3.3022,0.412948547560281,0.479522862823062
"25",720,38.08,3.2997,0.408202012530853,0.474552683896621
"26",750,37.65,3.2989,0.406683121321436,0.47296222664016
"27",780,37.22,NA,NA,NA
"28",810,36.82,NA,NA,NA
"29",840,36.42,3.2915,0.392633377634328,0.458250497017893
"30",870,35.98,3.2889,0.387696981203722,0.453081510934394
"31",900,35.6,3.2841,0.378583633947219,0.443538767395627
"32",930,35.27,NA,NA,NA
"33",960,34.92,NA,NA,NA
"34",990,34.56,3.2804,0.371558762103665,0.436182902584494
"35",1020,34.2,3.279,0.368900702487185,0.433399602385686
"36",1050,33.85,3.2767,0.36453389026011,0.42882703777336
"37",1080,33.55,NA,NA,NA
"38",1110,33.26,NA,NA,NA
"39",1140,32.98,3.2694,0.350674007974179,0.414314115308152
"40",1170,32.73,3.2694,0.350674007974179,0.414314115308152
"41",1200,32.45,3.2689,0.349724700968293,0.413320079522863
"42",1230,32.19,NA,NA,NA
"43",1260,31.95,NA,NA,NA
"44",1290,31.69,3.2649,0.342130244921208,0.405367793240557
"45",1320,31.42,3.262,0.336624264287071,0.399602385685885
"46",1350,31.18,3.2627,0.337953294095311,0.400994035785289
"47",1380,30.93,NA,NA,NA
"48",1410,30.71,NA,NA,NA
"49",1440,30.48,3.2598,0.332447313461173,0.395228628230616
"50",1470,30.31,3.2594,0.331687867856465,0.394433399602386
"51",1500,30.14,3.2578,0.328650085437631,0.391252485089464
"52",1530,29.93,NA,NA,NA
"53",1560,29.71,3.257,0.327131194228214,0.389662027833003
"54",1590,29.52,3.2551,0.323523827605848,0.385884691848907
"55",1620,29.14,3.2558,0.324852857414088,0.38727634194831
"56",1650,28.53,3.2526,0.31877729257642,0.380914512922466
"57",1680,28.09,NA,NA,NA
"58",1710,27.73,3.2514,0.316498955762294,0.378528827037773
"59",1740,27.28,3.2502,0.314220618948168,0.376143141153082
"60",1770,26.63,3.2512,0.316119232959939,0.378131212723658
"61",1800,26.23,3.2518,0.317258401367002,0.379324055666004
"62",1830,25.82,NA,NA,NA
"63",1860,25.45,3.2487,0.311372697930511,0.373161033797217
"64",1890,24.88,3.2459,0.306056578697551,0.367594433399602
"65",1920,24.47,3.2483,0.310613252325803,0.372365805168986
"66",1950,24.12,3.2469,0.307955192709323,0.369582504970179
"67",1980,23.78,NA,NA,NA
"68",2010,23.19,3.2456,0.30548699449402,0.36699801192843
"69",2040,22.68,3.2399,0.294664894626923,0.355666003976143
"70",2070,22.35,3.2452,0.304727548889311,0.366202783300199
"71",2100,22.05,3.2408,0.296373647237517,0.357455268389663
"72",2130,21.53,NA,NA,NA
"73",2160,21.12,3.2396,0.294095310423391,0.35506958250497
"74",2190,20.75,3.2386,0.29219669641162,0.353081510934394
"75",2220,20.51,3.2372,0.28953863679514,0.350298210735587
"76",2250,20.01,3.2353,0.285931270172774,0.346520874751492
"77",2280,19.64,NA,NA,NA
"78",2310,19.33,3.2353,0.285931270172774,0.346520874751492
"79",2340,19.06,3.2335,0.282513764951585,0.342942345924453
"80",2370,18.65,3.2331,0.281754319346877,0.342147117296223
"81",2400,18.28,3.232,0.279665843933929,0.339960238568589
"82",2430,18.03,NA,NA,NA
"83",2460,17.81,3.2287,0.273400417695083,0.333399602385686
