"","time_s","uptake","hpv"
"1",0,0.1456,91.63
"2",30,NA,96.64
"3",60,0.14944,85.49
"4",90,0.14432,78.68
"5",120,0.14752,74.39
"6",150,0.15168,70.6
"7",180,NA,66.76
"8",210,0.14832,63.35
"9",240,0.15024,60.16
"10",270,0.14144,57.11
"11",300,0.14544,54.35
"12",330,NA,51.59
"13",360,0.14544,49.28
"14",390,0.14256,47.37
"15",420,0.1448,45.92
"16",450,0.14112,44.54
"17",480,NA,43.43
"18",510,0.13888,42.52
"19",540,0.14224,41.67
"20",570,0.13936,41.01
"21",600,0.13792,40.35
"22",630,NA,39.81
"23",660,0.13648,39.23
"24",690,0.13632,38.72
"25",720,0.13488,38.28
"26",750,0.132,37.85
"27",780,NA,37.43
"28",810,0.13152,37.05
"29",840,0.12688,36.68
"30",870,0.13136,36.35
"31",900,0.12896,36.03
"32",930,NA,35.71
"33",960,0.12432,35.41
"34",990,0.12736,35.12
"35",1020,0.12512,34.82
"36",1050,0.1216,34.52
"37",1080,NA,34.19
"38",1110,0.12464,33.88
"39",1140,0.12208,33.6
"40",1170,0.12304,33.36
"41",1200,0.12224,33.07
"42",1230,NA,32.84
"43",1260,0.11824,32.6
"44",1290,0.11808,32.33
"45",1320,0.11744,32.05
"46",1350,NA,31.8
"47",1380,NA,31.55
"48",1410,0.11392,31.3
"49",1440,0.11552,31.07
"50",1470,0.11136,30.85
"51",1500,NA,30.66
"52",1530,NA,30.46
"53",1560,0.11328,30.27
"54",1590,0.11056,30.06
"55",1620,0.11008,29.82
"56",1650,NA,29.25
"57",1680,NA,28.83
"58",1710,0.10832,28.47
"59",1740,0.10544,28.18
"60",1770,0.10496,27.55
"61",1800,NA,27
"62",1830,NA,26.59
"63",1860,0.10512,26.24
"64",1890,0.10272,25.71
"65",1920,0.1032,25.23
"66",1950,NA,24.85
"67",1980,NA,24.58
"68",2010,0.10016,24
"69",2040,0.10032,23.48
"70",2070,0.09632,23.07
"71",2100,NA,22.75
"72",2130,NA,22.34
"73",2160,0.0974399999999996,21.9
"74",2190,0.0956800000000001,21.54
"75",2220,0.0955199999999998,21.3
"76",2250,NA,20.9
"77",2280,0.0951999999999998,20.45
"78",2310,0.09392,20.1
"79",2340,0.0918399999999998,19.84
"80",2370,0.0894399999999997,19.52
"81",2400,NA,19.14
"82",2430,0.0940799999999996,18.83
"83",2460,0.08688,18.59
"84",2490,0.0863999999999997,18.32
"85",2520,0.0886400000000002,17.89
"86",2550,NA,17.57
"87",2580,0.0870399999999996,17.33
"88",2610,0.0857599999999998,17.1
"89",2640,0.0827199999999998,16.78
"90",2670,0.08416,16.53
"91",2700,NA,16.32
"92",2730,0.0761600000000001,16.14
"93",2760,0.0811199999999999,15.77
"94",2790,0.0803199999999997,15.47
"95",2820,NA,15.23
"96",2850,NA,15.01
"97",2880,0.0795200000000001,14.7
"98",2910,0.0814399999999999,14.44
"99",2940,0.0828800000000001,14.25
"100",2970,NA,14.11
"101",3000,0.0780799999999999,13.88
"102",3030,0.0785600000000002,13.66
"103",3060,0.0795200000000001,13.47
"104",3090,0.0755200000000002,13.36
"105",3120,NA,13.26
"106",3150,0.0787199999999999,13.14
"107",3180,0.0728000000000002,13.07
"108",3210,0.0705599999999997,12.99
"109",3240,0.0748799999999996,12.92
"110",3270,NA,12.85
"111",3300,0.0729599999999998,12.8
"112",3330,0.0731200000000001,12.76
"113",3360,0.0732799999999997,12.68
"114",3390,0.0702399999999997,12.64
"115",3420,NA,12.61
"116",3450,0.0692799999999998,12.56
"117",3480,0.0728000000000002,12.51
"118",3510,0.0694400000000002,12.44
"119",3540,0.0689599999999999,12.39
"120",3570,NA,12.37
"121",3600,0.0688000000000002,12.32
"122",3630,0.0705599999999997,12.26
"123",3660,0.0667200000000001,12.23
"124",3690,0.0678399999999996,12.17
"125",3720,NA,12.14
"126",3750,0.0662399999999998,12.09
"127",3780,0.06432,12.05
"128",3810,0.0670400000000001,12.03
"129",3840,0.0644799999999996,11.98
"130",3870,NA,11.93
"131",3900,0.0630400000000002,11.89
"132",3930,0.0657600000000002,11.85
"133",3960,0.0633600000000001,11.82
"134",3990,0.0624000000000002,11.78
"135",4020,NA,11.73
"136",4050,0.0638399999999997,11.72
"137",4080,0.0641599999999997,11.67
"138",4110,0.0620799999999996,11.63
"139",4140,0.0630400000000002,11.61
"140",4170,NA,11.56
"141",4200,0.0601599999999998,11.53
"142",4230,0.0631999999999998,11.51
"143",4260,0.0547199999999997,11.49
"144",4290,0.0604799999999997,11.43
"145",4320,NA,11.4
