"","time_s","HPV","uptake"
"1",0,85.62,0.0951999999999998
"2",30,97.78,0.0975999999999999
"3",60,86.54,NA
"4",90,76.9,0.09696
"5",120,71.29,0.10176
"6",150,67.13,0.0991999999999997
"7",180,63.65,0.1032
"8",210,60.35,NA
"9",240,57.38,0.10224
"10",270,54.77,0.1016
"11",300,52.87,0.0953600000000002
"12",330,51.46,NA
"13",360,50.37,NA
"14",390,49.4,0.10016
"15",420,48.58,0.0980800000000002
"16",450,47.79,0.0974399999999996
"17",480,47.06,NA
"18",510,46.38,NA
"19",540,45.66,0.0977600000000002
"20",570,45.04,0.10048
"21",600,44.39,0.0948799999999999
"22",630,43.87,NA
"23",660,43.39,NA
"24",690,42.89,0.0975999999999999
"25",720,42.4,0.0975999999999999
"26",750,41.97,0.0931199999999997
"27",780,41.56,NA
"28",810,41.16,NA
"29",840,40.81,0.0934399999999997
"30",870,40.45,0.0979199999999999
"31",900,40.16,0.0993600000000001
"32",930,39.88,NA
"33",960,39.58,NA
"34",990,39.31,0.0945599999999999
"35",1020,39.06,0.09328
"36",1050,38.8,0.0947200000000002
"37",1080,38.58,NA
"38",1110,38.34,NA
"39",1140,38.1,0.0911999999999999
"40",1170,37.85,0.0915199999999999
"41",1200,37.63,0.0921599999999998
"42",1230,37.44,NA
"43",1260,37.22,NA
"44",1290,36.98,0.08688
"45",1320,36.67,0.0891199999999998
"46",1350,36.32,0.0872
"47",1380,35.99,NA
"48",1410,35.66,NA
"49",1440,35.37,0.0881599999999999
"50",1470,35.09,0.0843199999999996
"51",1500,34.82,0.09024
"52",1530,34.33,NA
"53",1560,33.94,0.08384
"54",1590,33.57,0.0870399999999996
"55",1620,33.2,0.0872
"56",1650,32.47,0.0851199999999999
"57",1680,31.83,NA
"58",1710,31.32,0.0852800000000002
"59",1740,30.88,0.0856000000000002
"60",1770,30.35,0.0803199999999997
"61",1800,29.83,0.0867199999999997
"62",1830,29.4,NA
"63",1860,29.01,0.0849600000000002
"64",1890,28.42,0.0830399999999997
"65",1920,27.83,0.0847999999999999
"66",1950,27.34,0.0817599999999999
"67",1980,26.92,NA
"68",2010,26.39,0.0825600000000001
"69",2040,25.88,0.0803199999999997
"70",2070,25.46,0.08048
"71",2100,25.16,0.0798400000000001
"72",2130,24.74,NA
"73",2160,24.23,0.0753599999999999
"74",2190,23.78,0.0812799999999996
"75",2220,23.44,0.0752000000000002
"76",2250,23.07,0.0782399999999996
"77",2280,22.59,NA
"78",2310,22.19,0.0728000000000002
"79",2340,21.88,0.0745599999999996
"80",2370,21.54,0.0728000000000002
"81",2400,21.06,0.0772799999999997
"82",2430,20.63,NA
"83",2460,20.33,0.0755200000000002
"84",2490,20.02,0.0655999999999999
"85",2520,19.62,0.07376
"86",2550,19.25,0.0745599999999996
"87",2580,18.96,NA
"88",2610,18.68,0.0721600000000002
"89",2640,18.24,0.0735999999999997
"90",2670,17.86,0.0699199999999998
"91",2700,17.57,0.0719999999999999
"92",2730,17.33,NA
"93",2760,17.01,0.0664000000000002
"94",2790,16.68,0.0694400000000002
"95",2820,16.44,0.0675199999999997
"96",2850,16.24,0.0678399999999996
"97",2880,16,NA
"98",2910,15.75,0.0665599999999998
"99",2940,15.57,0.06464
"100",2970,15.44,0.0675199999999997
"101",3000,15.27,0.0655999999999999
"102",3030,15.14,NA
"103",3060,15.08,0.0686399999999999
"104",3090,14.99,0.0630400000000002
"105",3120,14.91,0.0665599999999998
"106",3150,14.84,0.0678399999999996
"107",3180,14.76,NA
"108",3210,14.72,0.0684799999999996
"109",3240,14.63,0.0647999999999996
"110",3270,14.56,0.0620799999999996
"111",3300,14.48,0.0652799999999999
"112",3330,14.4,NA
"113",3360,14.36,0.0620799999999996
"114",3390,14.3,0.0641599999999997
"115",3420,14.23,0.0604799999999997
"116",3450,14.2,NA
"117",3480,14.14,NA
"118",3510,14.09,0.0640000000000001
"119",3540,14.03,0.0601599999999998
"120",3570,13.98,0.0604799999999997
"121",3600,13.91,NA
"122",3630,13.88,NA
"123",3660,13.83,0.0619199999999999
"124",3690,13.79,0.0614399999999996
"125",3720,13.73,0.0580799999999996
"126",3750,13.67,NA
"127",3780,13.64,NA
"128",3810,13.61,0.0604799999999997
"129",3840,13.58,0.0583999999999996
"130",3870,13.52,0.0574399999999997
"131",3900,13.48,NA
"132",3930,13.45,NA
"133",3960,13.41,0.0603200000000001
"134",3990,13.36,0.0560000000000002
"135",4020,13.34,0.0536000000000001
"136",4050,13.28,NA
"137",4080,13.25,NA
"138",4110,13.21,0.0572800000000001
"139",4140,13.18,0.0540799999999997
"140",4170,13.15,0.0564799999999998
"141",4200,13.12,NA
"142",4230,13.07,NA
"143",4260,13.02,0.0532800000000002
"144",4290,12.95,0.0510399999999997
"145",4320,12.9,0.0532800000000002
"146",4350,12.85,NA
"147",4380,12.83,NA
"148",4410,12.8,0.0543999999999997
"149",4440,12.75,0.0532800000000002
"150",4470,12.72,0.0532800000000002
"151",4500,12.69,NA
"152",4530,12.66,NA
"153",4560,12.62,0.0531199999999998
"154",4590,12.59,0.0527999999999999
"155",4620,12.54,0.0539200000000001
"156",4650,12.53,NA
"157",4680,12.51,0.0542400000000001
"158",4710,12.5,0.0483199999999997
"159",4740,12.45,0.0496000000000002
"160",4770,12.4,0.0503999999999998
"161",4800,12.38,NA
"162",4830,12.38,0.0505600000000001
"163",4860,12.38,0.0534399999999998
"164",4890,12.34,0.0537599999999998
"165",4920,12.3,0.0496000000000002
"166",4950,12.28,NA
"167",4980,12.23,0.0512
"168",5010,12.21,0.0470399999999998
"169",5040,12.19,0.0529600000000002
"170",5070,12.16,0.0527999999999999
"171",5100,12.13,NA
"172",5130,12.13,0.0523199999999996
"173",5160,12.11,0.0491199999999999
"174",5190,12.1,0.0516799999999996
"175",5220,12.06,0.0472000000000001
"176",5250,12.01,NA
"177",5280,11.99,0.04512
