"","time_s","hpv","uptake"
"1",0,68.65,0.000524934383201969
"2",30,98.62,0.00498687664041991
"3",60,96.7,NA
"4",90,85.98,0.00734908136482968
"5",120,78.25,0.0149606299212599
"6",150,73.01,0.0125984251968501
"7",180,69.01,0.0133858267716537
"8",210,66.05,NA
"9",240,63.48,0.0149606299212599
"10",270,61.45,0.0181102362204721
"11",300,59.7,0.0223097112860896
"12",330,58.3,0.0244094488188978
"13",360,57.13,NA
"14",390,56.18,0.0230971128608921
"15",420,55.37,0.0223097112860896
"16",450,54.54,0.0178477690288717
"17",480,53.85,NA
"18",510,53.14,NA
"19",540,52.57,0.0244094488188978
"20",570,52.01,0.0296587926509182
"21",600,51.4,0.0280839895013121
"22",630,50.88,NA
"23",660,50.44,NA
"24",690,49.93,0.02755905511811
"25",720,49.48,0.0309711286089239
"26",750,48.99,0.0299212598425198
"27",780,48.54,NA
"28",810,48.11,NA
"29",840,47.67,0.0283464566929137
"30",870,47.3,0.0351706036745402
"31",900,46.9,0.0367454068241464
"32",930,46.51,NA
"33",960,46.09,NA
"34",990,45.8,0.03753280839895
"35",1020,45.54,0.0354330708661418
"36",1050,45.32,0.0377952755905504
"37",1080,44.73,NA
"38",1110,44.17,NA
"39",1140,43.72,0.0385826771653541
"40",1170,43.29,0.0396325459317582
"41",1200,42.58,0.0396325459317582
"42",1230,41.92,NA
"43",1260,41.37,NA
"44",1290,40.95,0.0396325459317582
"45",1320,40.35,0.0419947506561679
"46",1350,39.75,0.0435695538057741
"47",1380,39.25,NA
"48",1410,38.81,NA
"49",1440,38.17,0.0412073490813643
"50",1470,37.46,0.0448818897637798
"51",1500,36.89,0.0448818897637798
"52",1530,36.41,NA
"53",1560,35.88,0.0422572178477684
"54",1590,35.26,0.0459317585301838
"55",1620,34.8,0.0448818897637798
"56",1650,34.4,0.0472440944881884
"57",1680,33.89,NA
"58",1710,33.23,0.0514435695538059
"59",1740,32.72,0.0490813648293961
"60",1770,32.33,0.0519685039370079
"61",1800,31.9,0.0467191601049863
"62",1830,31.34,NA
"63",1860,30.88,0.0501312335958002
"64",1890,30.55,0.053018372703412
"65",1920,30.18,0.0514435695538059
"66",1950,29.59,0.0522309711286083
"67",1980,29.09,NA
"68",2010,28.68,0.048031496062992
"69",2040,28.33,0.0498687664041997
"70",2070,27.83,0.053018372703412
"71",2100,27.42,0.0551181102362202
"72",2130,27.11,NA
"73",2160,26.79,0.0548556430446197
"74",2190,26.31,0.0532808398950124
"75",2220,25.9,0.0519685039370079
"76",2250,25.56,0.0524934383202099
"77",2280,25.29,NA
