Date,Time,TPV,TSV,HPV,HSV
 2023-01-16,16:32:41,25.02,25.00,89.63,90.00,
 2023-01-16,16:33:11,25.59,25.00,95.91,90.00,
 2023-01-16,16:33:41,26.75,25.00,99.66,90.00,
 2023-01-16,16:34:11,26.97,25.00,99.11,90.00,
 2023-01-16,16:34:41,26.38,25.00,91.38,90.00,
 2023-01-16,16:35:11,25.44,25.00,83.06,90.00,
 2023-01-16,16:35:41,24.72,25.00,79.98,90.00,
 2023-01-16,16:36:11,24.35,25.00,78.94,90.00,
 2023-01-16,16:36:41,24.34,25.00,79.02,90.00,
 2023-01-16,16:37:11,24.55,25.00,80.39,90.00,
 2023-01-16,16:37:41,24.82,25.00,81.63,90.00,
 2023-01-16,16:38:11,25.03,25.00,82.58,90.00,
 2023-01-16,16:38:41,25.19,25.00,84.62,90.00,
 2023-01-16,16:39:11,25.30,25.00,86.48,90.00,
 2023-01-16,16:39:41,25.34,25.00,88.44,90.00,
 2023-01-16,16:40:11,25.34,25.00,90.05,90.00,
 2023-01-16,16:40:41,25.28,25.00,91.10,90.00,
 2023-01-16,16:41:11,25.21,25.00,92.05,90.00,
 2023-01-16,16:41:41,25.15,25.00,92.71,90.00,
 2023-01-16,16:42:11,25.09,25.00,92.92,90.00,
 2023-01-16,16:42:41,25.05,25.00,93.36,90.00,
 2023-01-16,16:43:11,25.01,25.00,93.41,90.00,
 2023-01-16,16:43:41,24.97,25.00,93.07,90.00,
 2023-01-16,16:44:11,24.94,25.00,92.74,90.00,
 2023-01-16,16:44:41,24.93,25.00,92.53,90.00,
 2023-01-16,16:45:11,24.94,25.00,92.44,90.00,
 2023-01-16,16:45:41,24.94,25.00,91.84,90.00,
 2023-01-16,16:46:11,24.94,25.00,91.47,90.00,
 2023-01-16,16:46:41,24.94,25.00,91.12,90.00,
 2023-01-16,16:47:11,24.95,25.00,90.74,90.00,
 2023-01-16,16:47:41,24.95,25.00,90.45,90.00,
 2023-01-16,16:48:11,24.94,25.00,90.10,90.00,
 2023-01-16,16:48:41,24.95,25.00,89.88,90.00,
 2023-01-16,16:49:11,24.97,25.00,89.84,90.00,
 2023-01-16,16:49:41,24.98,25.00,89.65,90.00,
 2023-01-16,16:50:11,24.99,25.00,89.57,90.00,
 2023-01-16,16:50:41,25.00,25.00,89.64,90.00,
 2023-01-16,16:51:11,25.00,25.00,89.70,90.00,
 2023-01-16,16:51:41,25.00,25.00,89.65,90.00,
 2023-01-16,16:52:11,25.00,25.00,89.86,90.00,
 2023-01-16,16:52:41,25.02,25.00,89.97,90.00,
 2023-01-16,16:53:11,25.02,25.00,90.08,90.00,
 2023-01-16,16:53:41,24.99,25.00,89.61,90.00,
 2023-01-16,16:54:11,24.99,25.00,89.79,90.00,
 2023-01-16,16:54:41,24.98,25.00,89.73,90.00,
 2023-01-16,16:55:11,24.99,25.00,90.06,90.00,
 2023-01-16,16:55:41,24.99,25.00,89.92,90.00,
 2023-01-16,16:56:11,24.98,25.00,89.75,90.00,
