"","time_s","hpv","uptake"
"1",0,75.97,0.0516295025728992
"2",30,80.2,NA
"3",60,62.47,0.0778730703259007
"4",90,51.88,0.088679245283019
"5",120,46.17,0.0958833619210979
"6",150,43.1,0.0998284734133791
"7",180,40.02,NA
"8",210,37.71,0.111663807890223
"9",240,35.99,0.119725557461407
"10",270,34.58,0.125557461406518
"11",300,33.52,0.126929674099486
"12",330,32.75,NA
"13",360,32.23,0.137221269296741
"14",390,31.87,0.140994854202401
"15",420,31.48,0.145454545454546
"16",450,31.16,0.14631217838765
"17",480,30.88,NA
"18",510,30.61,0.153173241852487
"19",540,30.46,0.160205831903945
"20",570,30.25,0.160377358490566
"21",600,30.02,0.16483704974271
"22",630,29.78,NA
"23",660,29.54,0.172041166380789
"24",690,29.31,0.174957118353345
"25",720,29.08,0.17958833619211
"26",750,28.82,0.182332761578045
"27",780,28.55,NA
"28",810,28.32,0.187478559176672
"29",840,28.15,0.191252144082333
"30",870,27.92,0.193138936535163
"31",900,27.65,0.193996569468268
"32",930,27.38,NA
"33",960,27.08,0.200514579759863
"34",990,26.83,0.206689536878216
"35",1020,26.62,0.208233276157805
"36",1050,26.42,0.20377358490566
"37",1080,26.22,NA
"38",1110,26.02,0.211663807890223
"39",1140,25.81,0.2147512864494
"40",1170,25.64,0.216466552315609
"41",1200,25.47,0.218353344768439
"42",1230,25.28,NA
"43",1260,25.09,0.221612349914237
"44",1290,24.9,0.226243567753002
"45",1320,24.7,0.227444253859349
"46",1350,24.52,NA
"47",1380,24.34,NA
"48",1410,24.19,0.230017152658662
"49",1440,24.02,0.234133790737564
"50",1470,23.83,0.23704974271012
"51",1500,23.61,NA
"52",1530,23.38,NA
"53",1560,23.18,0.238421955403088
"54",1590,23.07,0.240823327615781
"55",1620,22.95,0.243567753001715
"56",1650,22.69,NA
"57",1680,22.19,NA
"58",1710,21.77,0.245626072041166
"59",1740,21.49,0.24802744425386
"60",1770,21.14,0.248370497427102
"61",1800,20.48,NA
"62",1830,19.99,NA
"63",1860,19.6,0.248542024013722
"64",1890,19.26,0.250771869639794
"65",1920,18.72,0.251972555746141
"66",1950,18.28,NA
"67",1980,17.99,NA
"68",2010,17.71,0.253516295025729
"69",2040,17.07,0.252830188679245
"70",2070,16.63,NA
"71",2100,16.35,NA
"72",2130,16.13,0.254202401372213
"73",2160,15.75,0.254373927958834
"74",2190,15.4,0.254202401372213
"75",2220,15.16,NA
"76",2250,14.96,NA
"77",2280,14.6,0.252315608919383
"78",2310,14.3,0.25728987993139
"79",2340,14.09,0.257975986277873
"80",2370,13.93,NA
"81",2400,13.67,NA
"82",2430,13.44,0.252658662092625
"83",2460,13.29,0.253344768439108
"84",2490,13.16,0.251114922813036
"85",2520,12.95,NA
"86",2550,12.69,NA
"87",2580,12.53,0.25180102915952
"88",2610,12.4,0.256775300171526
"89",2640,12.23,0.25180102915952
"90",2670,12.02,NA
"91",2700,11.88,NA
"92",2730,11.76,0.25368782161235
"93",2760,11.65,0.25368782161235
"94",2790,11.48,0.252315608919383
"95",2820,11.35,NA
"96",2850,11.26,NA
"97",2880,11.19,0.252487135506003
"98",2910,11.05,0.249228130360206
"99",2940,10.95,0.248370497427102
"100",2970,10.89,NA
"101",3000,10.85,NA
"102",3030,10.76,0.250257289879931
"103",3060,10.68,0.251457975986278
"104",3090,10.61,0.250085763293311
"105",3120,10.57,NA
"106",3150,10.5,0.249228130360206
"107",3180,10.44,0.248713550600343
"108",3210,10.39,0.248542024013722
"109",3240,10.34,0.249399656946827
"110",3270,10.3,NA
"111",3300,10.26,0.245797598627788
"112",3330,10.22,0.245626072041166
"113",3360,10.21,0.245283018867925
"114",3390,10.19,0.245283018867925
"115",3420,10.15,NA
"116",3450,10.1,0.24442538593482
"117",3480,10.07,0.242367066895369
"118",3510,10.05,0.242367066895369
"119",3540,10.03,0.243910806174957
"120",3570,10.03,NA
"121",3600,10,0.241337907375643
"122",3630,9.98,0.239108061749571
"123",3660,9.95,0.242710120068611
"124",3690,9.95,0.241852487135506
"125",3720,9.93,NA
"126",3750,9.91,0.239965694682676
"127",3780,9.88,0.239108061749571
"128",3810,9.86,0.238593481989709
"129",3840,9.84,0.236363636363637
"130",3870,9.81,NA
"131",3900,9.79,0.235334476843911
"132",3930,9.77,0.236192109777015
"133",3960,9.74,0.234648370497428
"134",3990,9.71,0.233962264150944
"135",4020,9.71,NA
"136",4050,9.69,0.238765008576329
"137",4080,9.68,0.236878216123499
"138",4110,9.66,0.23516295025729
"139",4140,9.64,0.233962264150944
"140",4170,9.62,NA
"141",4200,9.6,0.234133790737564
"142",4230,9.58,0.234133790737564
"143",4260,9.56,0.23156089193825
"144",4290,9.55,0.232590051457976
"145",4320,9.52,NA
"146",4350,9.52,0.230703259005146
"147",4380,9.5,0.226929674099486
"148",4410,9.48,0.230017152658662
"149",4440,9.47,0.229845626072041
"150",4470,9.45,NA
"151",4500,9.43,0.225728987993139
"152",4530,9.46,0.22590051457976
"153",4560,9.47,0.228130360205832
"154",4590,9.44,0.22401372212693
"155",4620,9.45,NA
"156",4650,9.46,0.228816466552316
"157",4680,9.49,0.222641509433963
"158",4710,9.5,0.225728987993139
"159",4740,9.5,0.223670668953688
"160",4770,9.49,NA
"161",4800,9.47,0.227787307032591
"162",4830,9.45,0.222469982847341
"163",4860,9.45,0.223670668953688
"164",4890,9.49,NA
"165",4920,9.5,NA
"166",4950,9.51,0.220583190394512
"167",4980,9.52,0.222126929674099
"168",5010,9.52,0.220926243567753
"169",5040,9.5,0.221097770154374
"170",5070,9.48,NA
"171",5100,9.46,0.219725557461407
"172",5130,9.5,0.223670668953688
"173",5160,9.51,0.216123499142367
"174",5190,9.5,NA
"175",5220,9.49,NA
"176",5250,9.47,0.221269296740995
"177",5280,9.47,0.218353344768439
"178",5310,9.46,0.214922813036021
"179",5340,9.45,NA
"180",5370,9.47,NA
"181",5400,9.5,0.218353344768439
"182",5430,9.52,0.220754716981132
"183",5460,9.51,0.216466552315609
"184",5490,9.5,NA
"185",5520,9.49,NA
"186",5550,9.47,0.215437392795884
"187",5580,9.47,0.218353344768439
"188",5610,9.47,0.214065180102916
"189",5640,9.48,NA
"190",5670,9.49,0.211663807890223
"191",5700,9.49,0.214236706689537
"192",5730,9.52,0.211663807890223
"193",5760,9.55,0.213550600343053
"194",5790,9.54,NA
"195",5820,9.55,0.212178387650086
"196",5850,9.55,0.209777015437393
"197",5880,9.55,0.209605488850772
"198",5910,9.55,NA
"199",5940,9.54,NA
"200",5970,9.53,0.211835334476844
"201",6000,9.52,0.208061749571183
"202",6030,9.5,0.208576329331047
"203",6060,9.5,NA
"204",6090,9.49,NA
"205",6120,9.46,0.208576329331047
"206",6150,9.45,0.205660377358491
"207",6180,9.44,0.207204116638079
"208",6210,9.43,NA
"209",6240,9.44,NA
"210",6270,9.47,0.208233276157805
"211",6300,9.47,0.206518010291596
"212",6330,9.47,0.204974271012007
"213",6360,9.52,NA
"214",6390,9.55,NA
"215",6420,9.57,0.207204116638079
"216",6450,9.66,0.207718696397942
"217",6480,9.59,0.206003430531733
"218",6510,9.55,NA
"219",6540,9.53,NA
"220",6570,9.52,0.203945111492282
"221",6600,9.5,0.206518010291596
"222",6630,9.49,0.200686106346484
"223",6660,9.49,NA
"224",6690,9.47,NA
"225",6720,9.47,0.206518010291596
"226",6750,9.5,0.198627787307032
"227",6780,9.5,0.203945111492282
"228",6810,9.52,NA
"229",6840,9.52,0.202744425385935
"230",6870,9.5,0.203259005145798
"231",6900,9.5,0.204116638078902
"232",6930,9.49,0.196054888507719
"233",6960,9.48,NA
"234",6990,9.47,0.201200686106346
"235",7020,9.46,0.200171526586621
"236",7050,9.45,0.202229845626072
"237",7080,9.46,0.200171526586621
"238",7110,9.48,NA
"239",7140,9.5,0.199485420240137
"240",7170,9.5,0.197427101200686
"241",7200,9.52,0.200857632933105
"242",7230,9.52,0.198284734133791
"243",7260,9.52,NA
"244",7290,9.5,0.196397941680961
"245",7320,9.5,0.19622641509434
"246",7350,9.5,0.194682675814751
"247",7380,9.48,0.196912521440823
"248",7410,9.47,NA
"249",7440,9.46,0.197941680960549
"250",7470,9.49,0.193310463121784
"251",7500,9.52,0.19622641509434
"252",7530,9.52,NA
"253",7560,9.52,NA
"254",7590,9.51,0.19622641509434
"255",7620,9.51,0.196397941680961
"256",7650,9.52,0.191766723842195
