"","time_s","hpv","uptake"
"1",0,78.99,0.025133689839572
"2",30,76.54,NA
"3",60,57.62,0.0541889483065955
"4",90,46.6,0.0632798573975048
"5",120,41.32,0.0680926916221036
"6",150,38.12,NA
"7",180,35.67,0.0714795008912658
"8",210,33.88,0.0777183600713012
"9",240,32.56,0.0741532976827098
"10",270,31.48,0.0825311942959
"11",300,30.69,NA
"12",330,30.02,0.0850267379679148
"13",360,29.5,0.0916221033868093
"14",390,29.09,0.0871657754010696
"15",420,28.8,0.0912655971479501
"16",450,28.53,NA
"17",480,28.1,0.0962566844919789
"18",510,27.84,0.0955436720142606
"19",540,27.79,0.099286987522282
"20",570,27.65,0.101604278074866
"21",600,27.42,NA
"22",630,27.19,0.105525846702317
"23",660,26.74,0.103743315508022
"24",690,26.3,0.107486631016043
"25",720,26,NA
"26",750,25.93,NA
"27",780,25.86,0.111764705882353
"28",810,25.56,0.111764705882353
"29",840,25.13,0.115686274509804
"30",870,24.83,NA
"31",900,24.76,NA
"32",930,24.48,0.116221033868092
"33",960,24.13,0.120499108734403
"34",990,23.95,0.116577540106951
"35",1020,23.66,NA
"36",1050,23.49,0.115864527629233
"37",1080,23.33,0.123172905525847
"38",1110,23.09,0.126381461675579
"39",1140,22.92,0.124420677361854
"40",1170,22.59,NA
"41",1200,22.28,0.127807486631016
"42",1230,22.24,0.1301247771836
"43",1260,21.98,0.126737967914438
"44",1290,21.79,0.128342245989305
"45",1320,21.6,NA
"46",1350,21.43,0.129768270944741
"47",1380,21.25,0.128698752228164
"48",1410,21.06,0.131194295900179
"49",1440,20.81,0.128342245989305
"50",1470,20.29,NA
"51",1500,19.59,0.131907308377897
"52",1530,19.05,0.128520499108735
"53",1560,18.67,0.131907308377897
"54",1590,18.35,0.129946524064171
"55",1620,17.84,NA
"56",1650,17.48,0.129946524064171
"57",1680,17.25,0.131907308377897
"58",1710,16.95,0.129233511586453
"59",1740,16.36,NA
"60",1770,15.94,0.128163992869876
"61",1800,15.69,0.129590017825312
"62",1830,15.46,0.129946524064171
"63",1860,15.02,0.126737967914438
"64",1890,14.76,NA
"65",1920,14.56,0.124955436720142
"66",1950,14.39,0.125846702317291
"67",1980,13.97,0.127450980392156
"68",2010,13.69,0.122459893048129
"69",2040,13.51,0.12156862745098
"70",2070,13.39,0.126916221033868
"71",2100,13.13,0.123529411764706
"72",2130,12.93,0.122994652406417
"73",2160,12.78,0.120142602495544
"74",2190,12.65,0.12174688057041
"75",2220,12.39,0.118181818181818
"76",2250,12.17,0.116399286987522
"77",2280,12.02,NA
"78",2310,11.92,0.117290552584671
"79",2340,11.8,0.113190730837789
"80",2370,11.67,0.114438502673797
"81",2400,11.57,NA
"82",2430,11.5,0.112121212121212
"83",2460,11.38,0.109269162210339
"84",2490,11.24,0.106773618538325
"85",2520,11.15,NA
"86",2550,11.07,0.107843137254902
"87",2580,10.96,0.100891265597148
"88",2610,10.84,0.101960784313725
"89",2640,10.74,NA
"90",2670,10.69,0.0987522281639929
"91",2700,10.62,0.0987522281639929
"92",2730,10.56,0.0967914438502672
"93",2760,10.48,0.0959001782531197
"94",2790,10.44,NA
"95",2820,10.4,0.0914438502673793
"96",2850,10.37,0.0894830659536544
"97",2880,10.33,0.0910873440285202
"98",2910,10.3,NA
"99",2940,10.26,0.0885918003565062
"100",2970,10.24,0.0841354723707665
"101",3000,10.21,0.0839572192513365
"102",3030,10.19,0.0805704099821743
"103",3060,10.17,NA
"104",3090,10.14,0.0791443850267377
"105",3120,10.12,0.0773618538324421
"106",3150,10.1,0.0768270944741529
"107",3180,10.08,0.077540106951872
"108",3210,10.05,NA
"109",3240,10.02,0.0732620320855615
"110",3270,10.01,0.0720142602495542
"111",3300,9.98,0.0686274509803919
"112",3330,9.97,0.0704099821746884
"113",3360,9.94,NA
"114",3390,9.9,0.066666666666667
"115",3420,9.88,0.0650623885918005
"116",3450,9.88,0.0639928698752231
"117",3480,9.84,0.0636363636363639
"118",3510,9.81,NA
"119",3540,9.8,0.0620320855614974
"120",3570,9.78,0.0563279857397504
"121",3600,9.77,0.0614973262032083
"122",3630,9.76,0.0543672014260247
"123",3660,9.74,NA
"124",3690,9.71,0.0540106951871656
"125",3720,9.69,0.0502673796791442
"126",3750,9.67,0.0493761140819967
"127",3780,9.65,0.0484848484848485
"128",3810,9.63,NA
"129",3840,9.64,0.0454545454545454
"130",3870,9.6,0.0445632798573971
"131",3900,9.59,0.0459893048128345
"132",3930,9.58,0.0450980392156863
"133",3960,9.58,NA
"134",3990,9.56,0.03921568627451
"135",4020,9.55,0.0381461675579326
"136",4050,9.55,0.0386809269162209
"137",4080,9.53,0.0390374331550801
"138",4110,9.5,NA
"139",4140,9.49,0.0367201426024953
"140",4170,9.48,0.0322638146167556
"141",4200,9.5,NA
"142",4230,9.51,0.0317290552584673
"143",4260,9.51,0.030837789661319
"144",4290,9.5,0.031016042780749
"145",4320,9.48,NA
"146",4350,9.47,0.0292335115864525
"147",4380,9.48,0.0294117647058825
"148",4410,9.48,0.0281639928698751
"149",4440,9.47,NA
"150",4470,9.46,0.0285204991087342
"151",4500,9.46,0.025133689839572
"152",4530,9.48,0.0306595365418899
"153",4560,9.53,NA
"154",4590,9.57,NA
"155",4620,9.57,0.0311942959001782
"156",4650,9.56,0.0276292335115868
"157",4680,9.57,NA
"158",4710,9.55,NA
"159",4740,9.55,0.0301247771836008
"160",4770,9.56,0.0292335115864525
"161",4800,9.55,0.0299465240641708
"162",4830,9.57,NA
"163",4860,9.55,0.0274509803921568
"164",4890,9.52,0.0267379679144385
"165",4920,9.51,0.0237076648841354
"166",4950,9.5,0.0260249554367202
"167",4980,9.47,NA
"168",5010,9.45,0.0278074866310159
"169",5040,9.44,0.0295900178253116
"170",5070,9.45,0.0313725490196081
"171",5100,9.47,NA
"172",5130,9.45,0.0283422459893051
"173",5160,9.45,0.0295900178253116
"174",5190,9.5,NA
"175",5220,9.55,0.0294117647058825
"176",5250,9.55,0.0292335115864525
"177",5280,9.55,NA
"178",5310,9.54,0.0285204991087342
"179",5340,9.52,0.0276292335115868
"180",5370,9.52,0.0260249554367202
"181",5400,9.51,NA
"182",5430,9.51,0.0299465240641708
"183",5460,9.5,0.031016042780749
"184",5490,9.49,NA
"185",5520,9.48,0.0285204991087342
"186",5550,9.5,0.0279857397504459
"187",5580,9.52,0.0269162210338677
"188",5610,9.52,0.0290552584670233
"189",5640,9.52,NA
"190",5670,9.51,NA
"191",5700,9.52,0.0274509803921568
"192",5730,9.52,0.0311942959001782
"193",5760,9.5,NA
"194",5790,9.48,0.0319073083778965
"195",5820,9.48,0.0258467023172903
"196",5850,9.49,NA
"197",5880,9.47,0.0283422459893051
"198",5910,9.48,0.0265597147950086
"199",5940,9.52,0.0288770053475934
"200",5970,9.52,0.0299465240641708
"201",6000,9.5,0.0297682709447416
"202",6030,9.5,0.0297682709447416
"203",6060,9.48,0.0254901960784311
"204",6090,9.49,NA
"205",6120,9.49,0.0276292335115868
"206",6150,9.48,0.0297682709447416
"207",6180,9.52,NA
"208",6210,9.52,0.025133689839572
"209",6240,9.52,0.0286987522281642
"210",6270,9.52,0.0304812834224599
"211",6300,9.5,0.0260249554367202
"212",6330,9.49,0.0265597147950086
"213",6360,9.48,NA
"214",6390,9.47,0.0285204991087342
