"","time_s","uptake","hpv"
"1",0,0.409859154929578,88.23
"2",30,0.409389671361503,98.22
"3",60,NA,87.52
"4",90,0.413145539906103,78.93
"5",120,0.414084507042253,73.46
"6",150,0.404460093896714,68.95
"7",180,0.400234741784037,65.18
"8",210,NA,61.55
"9",240,0.408685446009389,58.17
"10",270,0.403521126760564,54.92
"11",300,0.403755868544601,52.2
"12",330,0.3981220657277,50.26
"13",360,NA,48.75
"14",390,0.4,47.53
"15",420,0.388967136150235,46.55
"16",450,0.395539906103286,45.72
"17",480,NA,45.01
"18",510,NA,44.38
"19",540,0.395070422535211,43.77
"20",570,0.396009389671362,43.32
"21",600,0.391079812206573,42.88
"22",630,NA,42.41
"23",660,NA,41.94
"24",690,0.393192488262911,41.5
"25",720,0.391079812206573,41.1
"26",750,0.384507042253521,40.71
"27",780,NA,40.33
"28",810,NA,39.97
"29",840,0.389671361502348,39.66
"30",870,0.388028169014084,39.38
"31",900,0.388028169014084,39.05
"32",930,NA,38.76
"33",960,NA,38.47
"34",990,0.389671361502348,38.18
"35",1020,0.386854460093896,37.89
"36",1050,0.389671361502348,37.6
"37",1080,NA,37.34
"38",1110,NA,37.04
"39",1140,0.386619718309859,36.76
"40",1170,0.37981220657277,36.5
"41",1200,0.385446009389671,36.24
"42",1230,NA,35.98
"43",1260,NA,35.71
"44",1290,0.384507042253521,35.48
"45",1320,0.382394366197183,35.24
"46",1350,0.383333333333334,35.01
"47",1380,NA,34.76
"48",1410,0.383333333333334,34.53
"49",1440,0.385446009389671,34.3
"50",1470,0.381220657276995,34.04
"51",1500,0.383802816901409,33.81
"52",1530,NA,33.55
"53",1560,NA,33.14
"54",1590,0.384507042253521,32.52
"55",1620,0.381455399061032,32.01
"56",1650,0.382629107981221,31.55
"57",1680,NA,31.03
"58",1710,0.37887323943662,30.4
"59",1740,0.380985915492957,29.9
"60",1770,0.375821596244132,29.5
"61",1800,0.37112676056338,29.08
"62",1830,NA,28.35
"63",1860,0.374882629107982,27.83
"64",1890,0.375821596244132,27.43
"65",1920,0.375586854460094,27.02
"66",1950,0.369953051643193,26.44
"67",1980,NA,25.98
"68",2010,0.369718309859155,25.65
"69",2040,0.370657276995305,25.28
"70",2070,0.36924882629108,24.67
"71",2100,0.375586854460094,24.23
"72",2130,NA,23.83
"73",2160,0.367840375586855,23.49
"74",2190,0.364788732394366,22.98
"75",2220,0.363615023474178,22.56
"76",2250,0.361971830985916,22.24
"77",2280,NA,21.98
"78",2310,0.36056338028169,21.48
"79",2340,0.358685446009389,21.03
"80",2370,0.360798122065727,20.72
"81",2400,0.357511737089202,20.42
"82",2430,NA,20.03
"83",2460,0.355868544600939,19.68
"84",2490,0.350469483568075,19.42
"85",2520,0.355164319248827,19.18
"86",2550,0.351643192488263,18.8
"87",2580,NA,18.43
"88",2610,0.347887323943662,18.13
"89",2640,0.346478873239436,17.9
"90",2670,0.345539906103286,17.61
"91",2700,0.343896713615023,17.28
"92",2730,NA,17.02
"93",2760,0.340845070422536,16.82
"94",2790,0.340610328638498,16.55
"95",2820,0.336854460093897,16.2
"96",2850,0.337089201877934,15.94
"97",2880,NA,15.71
"98",2910,0.333802816901409,15.49
"99",2940,0.32793427230047,15.23
"100",2970,0.327464788732395,15.03
"101",3000,0.325821596244131,14.86
"102",3030,NA,14.72
"103",3060,0.321830985915493,14.6
"104",3090,0.324413145539906,14.47
"105",3120,0.325586854460093,14.38
"106",3150,0.317840375586854,14.29
"107",3180,NA,14.21
"108",3210,0.319014084507042,14.09
"109",3240,0.314319248826291,14
"110",3270,0.31056338028169,13.91
"111",3300,0.310798122065727,13.85
"112",3330,NA,13.79
"113",3360,0.30093896713615,13.75
"114",3390,0.31056338028169,13.68
"115",3420,0.303521126760563,13.63
"116",3450,NA,13.58
"117",3480,NA,13.51
"118",3510,0.30093896713615,13.46
"119",3540,0.294600938967136,13.41
