"","time_s","hpv","uptake"
"1",0,67.74,0.0450704225352109
"2",30,85.61,NA
"3",60,75.24,0.066666666666667
"4",90,67.04,0.0854460093896717
"5",120,62.1,0.0913145539906106
"6",150,59.05,0.0976525821596245
"7",180,56.41,NA
"8",210,53.91,0.104929577464789
"9",240,51.92,0.107042253521127
"10",270,50.21,0.115727699530516
"11",300,48.67,NA
"12",330,47.5,0.125586854460093
"13",360,46.46,0.133333333333334
"14",390,45.64,0.136150234741784
"15",420,44.96,0.133568075117371
"16",450,44.35,NA
"17",480,43.82,0.14906103286385
"18",510,43.33,0.153051643192488
"19",540,42.83,0.155164319248826
"20",570,42.38,0.150234741784037
"21",600,41.95,NA
"22",630,41.56,0.164319248826291
"23",660,41.15,0.166666666666666
"24",690,40.75,0.170422535211268
"25",720,40.42,0.170892018779343
"26",750,40.09,NA
"27",780,39.76,0.178873239436619
"28",810,39.38,0.178638497652582
"29",840,39.09,0.185446009389671
"30",870,38.73,0.18943661971831
"31",900,38.35,NA
"32",930,38.02,0.190140845070423
"33",960,37.68,0.192018779342723
"34",990,37.41,0.195305164319249
"35",1020,37.22,0.196244131455399
"36",1050,37.06,NA
"37",1080,36.91,0.200704225352112
"38",1110,36.71,0.205633802816901
"39",1140,36.47,0.207042253521126
"40",1170,36.28,0.211971830985915
"41",1200,36.05,NA
"42",1230,35.74,0.217605633802817
"43",1260,35.08,0.214084507042253
"44",1290,34.57,0.224413145539906
"45",1320,34.16,0.223708920187794
"46",1350,33.73,NA
"47",1380,33.02,0.225586854460094
"48",1410,32.41,0.228638497652582
"49",1440,31.9,0.226995305164319
"50",1470,31.42,0.229342723004694
"51",1500,30.76,NA
"52",1530,30.23,0.230985915492958
"53",1560,29.82,0.232863849765258
"54",1590,29.42,0.232629107981221
"55",1620,28.82,0.231924882629108
"56",1650,28.29,NA
"57",1680,27.88,0.237793427230047
"58",1710,27.49,0.239906103286385
"59",1740,26.9,0.23755868544601
"60",1770,26.39,0.238262910798122
"61",1800,25.99,NA
"62",1830,25.61,0.240610328638497
"63",1860,25.01,0.242018779342723
