"","time_s","hpv","uptake"
"1",0,15.12,0.0641160949868068
"2",30,21.01,0.0609498680738784
"3",60,30.79,NA
"4",90,21.11,0.0641160949868068
"5",120,21.73,0.0535620052770442
"6",150,21.82,0.0503957783641158
"7",180,21.18,0.0622691292875991
"8",210,20.4,NA
"9",240,19.65,0.0630606860158306
"10",270,19.02,0.0659630606860156
"11",300,18.44,0.0651715039577841
"12",330,17.96,0.0649076517150395
"13",360,17.5,NA
"14",390,17.09,0.0625329815303426
"15",420,16.66,0.0701846965699201
"16",450,16.24,0.0670184696569917
"17",480,15.88,NA
"18",510,15.57,NA
"19",540,15.32,0.069129287598944
"20",570,15.09,0.0738786279683378
"21",600,14.82,0.0736147757255932
"22",630,14.58,NA
"23",660,14.4,NA
"24",690,14.18,0.0712401055408974
"25",720,14.01,0.0675461741424798
"26",750,13.82,0.0688654353562006
"27",780,13.68,NA
"28",810,13.56,NA
"29",840,13.46,0.0736147757255932
"30",870,13.4,0.0762532981530347
"31",900,13.3,0.0728232189973617
"32",930,13.25,NA
"33",960,13.21,NA
"34",990,13.14,0.0820580474934034
"35",1020,13.01,0.0823218997361481
"36",1050,12.83,0.0775725593667543
"37",1080,12.68,NA
"38",1110,12.53,NA
"39",1140,12.4,0.0804749340369392
"40",1170,12.29,0.0807387862796827
"41",1200,12.15,0.0831134564643796
"42",1230,12.02,NA
"43",1260,11.87,NA
"44",1290,11.6,0.0868073878627972
"45",1320,11.43,0.0804749340369392
"46",1350,11.29,0.078364116094987
"47",1380,11.17,NA
"48",1410,11.02,NA
"49",1440,10.91,0.0831134564643796
"50",1470,10.8,0.0844327176781003
"51",1500,10.71,NA
"52",1530,10.64,NA
"53",1560,10.54,0.0852242744063319
"54",1590,10.45,0.0802110817941946
"55",1620,10.37,0.0852242744063319
"56",1650,10.31,NA
"57",1680,10.3,NA
"58",1710,10.23,0.0757255936675454
"59",1740,10.18,0.0730870712401051
"60",1770,10.14,0.0854881266490765
"61",1800,10.1,NA
"62",1830,10.06,NA
"63",1860,10.02,0.0770448548812662
"64",1890,9.98,0.0841688654353557
"65",1920,9.94,NA
"66",1950,9.9,0.0852242744063319
"67",1980,9.88,0.078364116094987
"68",2010,9.83,0.0833773087071242
"69",2040,9.82,NA
"70",2070,9.78,0.0815303430079154
"71",2100,9.75,0.0807387862796827
"72",2130,9.7,NA
"73",2160,9.69,0.0815303430079154
"74",2190,9.65,0.0751978891820574
"75",2220,9.62,0.0836411609498676
"76",2250,9.59,NA
"77",2280,9.55,0.0759894459102901
"78",2310,9.53,0.0757255936675454
"79",2340,9.49,0.0709762532981528
"80",2370,9.46,0.0781002638522423
"81",2400,9.44,0.078364116094987
"82",2430,9.42,0.0857519788918199
"83",2460,9.4,NA
"84",2490,9.4,0.0804749340369392
"85",2520,9.38,0.0722955145118736
"86",2550,9.39,NA
"87",2580,9.38,0.0839050131926123
"88",2610,9.33,0.078891820580475
"89",2640,9.31,NA
"90",2670,9.31,0.0778364116094989
"91",2700,9.37,0.0810026385224273
"92",2730,9.38,NA
"93",2760,9.37,0.078891820580475
"94",2790,9.35,0.0773087071240108
"95",2820,9.37,NA
"96",2850,9.36,0.0775725593667543
"97",2880,9.33,0.0802110817941946
"98",2910,9.32,NA
"99",2940,9.36,0.0807387862796827
"100",2970,9.38,NA
"101",3000,9.38,0.078891820580475
"102",3030,9.35,0.0823218997361481
"103",3060,9.38,NA
"104",3090,9.38,0.0728232189973617
"105",3120,9.36,0.0759894459102901
"106",3150,9.33,NA
"107",3180,9.37,0.078364116094987
"108",3210,9.41,0.0746701846965693
"109",3240,9.4,NA
"110",3270,9.4,0.0712401055408974
"111",3300,9.49,0.0741424802110812
"112",3330,9.52,NA
"113",3360,9.49,0.0730870712401051
"114",3390,9.49,NA
"115",3420,9.57,0.0759894459102901
"116",3450,9.66,0.0786279683377304
"117",3480,9.66,NA
"118",3510,9.66,0.0778364116094989
"119",3540,9.64,0.0712401055408974
"120",3570,9.63,NA
"121",3600,9.6,0.0786279683377304
"122",3630,9.56,0.0751978891820574
"123",3660,9.54,0.0770448548812662
"124",3690,9.48,0.0815303430079154
"125",3720,9.49,0.0791556728232185
"126",3750,9.5,0.0757255936675454
"127",3780,9.49,0.0733509234828497
