Date,Time,TPV,TSV,HPV,HSV
 2023-02-01,10:05:34,25.47,25.46,43.18,43.12,
 2023-02-01,10:06:04,24.60,25.45,36.05,44.79,
 2023-02-01,10:06:34,25.08,25.43,49.78,46.47,
 2023-02-01,10:07:04,25.82,25.41,50.94,48.20,
 2023-02-01,10:07:34,25.63,25.40,41.44,49.98,
 2023-02-01,10:08:04,25.17,25.38,38.82,51.65,
 2023-02-01,10:08:34,24.93,25.37,39.18,53.44,
 2023-02-01,10:09:04,24.99,25.35,41.05,55.17,
 2023-02-01,10:09:34,25.16,25.34,42.91,56.90,
 2023-02-01,10:10:04,25.34,25.32,45.14,58.63,
 2023-02-01,10:10:34,25.48,25.31,48.22,60.36,
 2023-02-01,10:11:04,25.59,25.29,52.82,62.09,
 2023-02-01,10:11:34,25.70,25.28,57.96,63.76,
 2023-02-01,10:12:04,25.78,25.26,63.24,65.54,
 2023-02-01,10:12:34,25.83,25.24,68.43,67.27,
 2023-02-01,10:13:04,25.85,25.23,73.22,69.00,
 2023-02-01,10:13:34,25.81,25.21,77.18,70.73,
 2023-02-01,10:14:04,25.74,25.20,80.30,72.40,
 2023-02-01,10:14:34,25.64,25.18,82.65,74.19,
 2023-02-01,10:15:04,25.51,25.17,83.86,75.92,
 2023-02-01,10:15:34,25.37,25.15,85.05,77.65,
 2023-02-01,10:16:04,25.25,25.14,85.36,79.38,
 2023-02-01,10:16:34,25.15,25.12,85.42,81.10,
 2023-02-01,10:17:04,25.08,25.10,85.79,82.83,
 2023-02-01,10:17:34,25.05,25.09,86.00,84.56,
 2023-02-01,10:18:04,25.02,25.07,86.26,86.29,
 2023-02-01,10:18:34,25.02,25.06,86.67,88.02,
 2023-02-01,10:19:04,25.03,25.04,87.16,89.75,
 2023-02-01,10:19:34,25.04,25.03,87.87,91.48,
 2023-02-01,10:20:04,25.07,25.01,89.03,93.21,
 2023-02-01,10:20:34,25.09,25.00,90.17,94.94,
 2023-02-01,10:21:04,25.10,25.00,91.17,95.00,
 2023-02-01,10:21:34,25.11,25.00,92.37,95.00,
 2023-02-01,10:22:04,25.11,25.00,93.42,95.00,
 2023-02-01,10:22:34,25.12,25.00,94.35,95.00,
 2023-02-01,10:23:04,25.12,25.00,95.16,95.00,
 2023-02-01,10:23:34,25.11,25.00,95.82,95.00,
 2023-02-01,10:24:04,25.09,25.00,96.20,95.00,
 2023-02-01,10:24:34,25.07,25.00,96.63,95.00,
 2023-02-01,10:25:04,25.03,25.00,96.78,95.00,
 2023-02-01,10:25:34,25.01,25.00,96.95,95.00,
 2023-02-01,10:26:04,24.99,25.00,97.07,95.00,
 2023-02-01,10:26:34,24.98,25.00,97.10,95.00,
 2023-02-01,10:27:04,24.97,25.00,97.20,95.00,
 2023-02-01,10:27:34,24.95,25.00,97.12,95.00,
 2023-02-01,10:28:04,24.94,25.00,96.97,95.00,
 2023-02-01,10:28:34,24.94,25.00,96.86,95.00,
 2023-02-01,10:29:04,24.94,25.00,96.66,95.00,
 2023-02-01,10:29:34,24.95,25.00,96.31,95.00,
 2023-02-01,10:30:04,24.95,25.00,95.99,95.00,
 2023-02-01,10:30:34,24.95,25.00,95.67,95.00,
 2023-02-01,10:31:04,24.96,25.00,95.41,95.00,
 2023-02-01,10:31:34,24.96,25.00,94.96,95.00,
 2023-02-01,10:32:04,24.95,25.00,94.66,95.00,
 2023-02-01,10:32:34,24.96,25.00,94.51,95.00,
 2023-02-01,10:33:04,24.96,25.00,94.38,95.00,
 2023-02-01,10:33:34,24.98,25.00,94.34,95.00,
 2023-02-01,10:34:04,24.99,25.00,94.25,95.00,
 2023-02-01,10:34:34,25.00,25.00,94.29,95.00,
 2023-02-01,10:35:04,25.00,25.00,94.34,95.00,
 2023-02-01,10:35:34,25.01,25.00,94.44,95.00,
 2023-02-01,10:36:04,25.01,25.00,94.50,95.00,
 2023-02-01,10:36:34,25.01,25.00,94.57,95.00,
 2023-02-01,10:37:04,25.01,25.00,94.81,95.00,
 2023-02-01,10:37:34,25.02,25.00,94.88,95.00,
 2023-02-01,10:38:04,25.01,25.00,94.87,95.00,
 2023-02-01,10:38:34,25.01,25.00,95.10,95.00,
 2023-02-01,10:39:04,25.01,25.00,95.13,95.00,
 2023-02-01,10:39:34,25.00,25.00,95.12,95.00,
 2023-02-01,10:40:04,25.00,25.00,95.22,95.00,
 2023-02-01,10:40:34,24.99,25.00,95.17,95.00,
 2023-02-01,10:41:04,24.99,25.00,95.15,95.00,
 2023-02-01,10:41:34,24.99,25.00,95.19,95.00,
 2023-02-01,10:42:04,24.99,25.00,95.18,95.00,
 2023-02-01,10:42:34,24.99,25.00,95.14,95.00,
 2023-02-01,10:43:04,24.99,25.00,95.05,95.00,
 2023-02-01,10:43:34,24.99,25.00,94.96,95.00,
 2023-02-01,10:44:04,24.99,25.00,94.98,95.00,
 2023-02-01,10:44:34,25.00,25.00,95.03,95.00,
 2023-02-01,10:45:04,24.99,25.00,94.92,95.00,
 2023-02-01,10:45:34,24.99,25.00,94.93,95.00,
 2023-02-01,10:46:04,25.00,25.00,95.05,95.00,
 2023-02-01,10:46:34,25.00,25.00,95.19,95.00,
 2023-02-01,10:47:04,25.00,25.00,95.17,95.00,
 2023-02-01,10:47:34,25.00,25.00,95.09,95.00,
 2023-02-01,10:48:04,24.99,25.00,95.13,95.00,
 2023-02-01,10:48:34,24.99,25.00,95.10,95.00,
 2023-02-01,10:49:04,24.99,25.00,95.10,95.00,
 2023-02-01,10:49:34,24.98,25.00,94.96,95.00,
 2023-02-01,10:50:04,24.97,25.00,94.78,95.00,
 2023-02-01,10:50:34,24.97,25.00,94.72,95.00,
 2023-02-01,10:51:04,24.98,25.00,94.77,95.00,
 2023-02-01,10:51:34,24.98,25.00,94.68,95.00,
 2023-02-01,10:52:04,24.97,25.00,94.42,95.00,
 2023-02-01,10:52:34,24.98,25.00,94.49,95.00,
 2023-02-01,10:53:04,25.01,25.00,94.79,95.00,
 2023-02-01,10:53:34,25.03,25.00,94.97,95.00,
 2023-02-01,10:54:04,25.03,25.00,95.01,95.00,
 2023-02-01,10:54:34,25.02,25.00,95.14,95.00,
 2023-02-01,10:55:04,25.01,25.00,95.20,95.00,
 2023-02-01,10:55:34,25.00,25.00,95.15,95.00,
 2023-02-01,10:56:04,24.99,25.00,95.12,95.00,
 2023-02-01,10:56:34,24.98,25.00,95.10,95.00,
 2023-02-01,10:57:04,24.99,25.00,95.23,95.00,
 2023-02-01,10:57:34,24.99,25.00,95.12,95.00,
 2023-02-01,10:58:04,25.00,25.00,95.09,95.00,
 2023-02-01,10:58:34,24.99,25.00,94.99,95.00,
 2023-02-01,10:59:04,24.98,25.00,94.90,95.00,
 2023-02-01,10:59:34,24.97,25.00,94.85,95.00,
 2023-02-01,11:00:04,24.98,25.00,94.83,95.00,
 2023-02-01,11:00:34,24.99,25.00,94.89,95.00,
 2023-02-01,11:01:04,25.00,25.00,94.92,95.00,
 2023-02-01,11:01:34,25.01,25.00,95.03,95.00,
 2023-02-01,11:02:04,25.01,25.00,94.98,95.00,
 2023-02-01,11:02:34,25.00,25.00,94.91,95.00,
 2023-02-01,11:03:04,24.99,25.00,94.93,95.00,
 2023-02-01,11:03:34,24.99,25.00,95.00,95.00,
 2023-02-01,11:04:04,24.99,25.00,94.93,95.00,
 2023-02-01,11:04:34,25.00,25.00,94.98,95.00,
 2023-02-01,11:05:04,24.99,25.00,94.96,95.00,
 2023-02-01,11:05:34,24.99,25.00,94.92,95.00,
 2023-02-01,11:06:04,24.99,25.00,94.93,95.00,
 2023-02-01,11:06:34,24.99,25.00,94.93,95.00,
 2023-02-01,11:07:04,25.00,25.00,94.93,95.00,
 2023-02-01,11:07:34,24.99,25.00,94.98,95.00,
