"","time_s","hpv","uptake"
"1",0,56.42,0.0187335092348282
"2",30,89.05,NA
"3",60,78.49,0.0369393139841683
"4",0,71.08,0.0187335092348282
"5",90,67.24,0.0385224274406337
"6",120,66.38,0.0419525065963055
"7",0,65.24,0.0187335092348282
"8",150,64.77,0.0477572559366755
"9",180,65.26,NA
"10",0,66.85,0.0187335092348282
"11",210,69.28,0.0556728232189977
"12",240,72.13,0.0517150395778366
"13",0,75.02,0.0187335092348282
"14",270,77.73,0.0538258575197888
"15",300,80.05,0.0472295514511874
"16",0,82.06,0.0187335092348282
"17",330,83.41,NA
"18",360,84.36,0.0556728232189977
"19",0,84.63,0.0187335092348282
"20",390,84.9,0.0540897097625323
"21",420,84.91,0.0572559366754619
"22",0,84.48,0.0187335092348282
"23",450,84.13,0.0538258575197888
"24",480,83.87,NA
"25",0,83.45,0.0187335092348282
"26",510,83.32,0.0625329815303426
"27",540,83.26,0.0522427440633246
"28",0,83.32,0.0187335092348282
"29",570,83.48,0.0580474934036934
"30",600,83.85,0.061741424802111
"31",0,84.37,0.0187335092348282
"32",630,85.13,NA
"33",660,86.1,0.0535620052770442
"34",0,87.08,0.0187335092348282
"35",690,87.96,0.0567282321899738
"36",720,88.81,0.0601583113456468
"37",0,89.64,0.0187335092348282
"38",750,90.19,0.0543535620052769
"39",780,90.41,NA
"40",0,90.7,0.0187335092348282
"41",810,90.77,0.0593667546174142
"42",840,90.99,0.0622691292875991
"43",0,90.96,0.0187335092348282
"44",870,91.26,0.0559366754617411
"45",900,91.06,0.0572559366754619
"46",0,91.02,0.0187335092348282
"47",930,91.11,NA
"48",960,90.75,0.0585751978891815
"49",0,90.69,0.0187335092348282
"50",990,90.71,0.0551451187335096
"51",1020,90.71,0.0559366754617411
"52",0,90.37,0.0187335092348282
"53",1050,90.21,NA
"54",1080,90.08,NA
"55",0,89.9,0.0187335092348282
"56",1110,89.71,0.0540897097625323
"57",1140,89.83,0.0535620052770442
"58",0,89.73,0.0187335092348282
"59",1170,89.62,0.0598944591029022
"60",1200,89.71,0.05197889182058
"61",0,89.82,0.0187335092348282
"62",1230,89.85,NA
"63",1260,89.81,0.061213720316623
"64",0,89.87,0.0187335092348282
"65",1290,89.98,0.0564643799472292
"66",1320,90.05,0.0622691292875991
"67",0,89.86,0.0187335092348282
"68",1350,89.87,NA
"69",1380,89.87,NA
"70",0,89.86,0.0187335092348282
"71",1410,89.4,0.0585751978891815
"72",1440,89.63,0.0527704485488127
"73",0,89.85,0.0187335092348282
"74",1470,89.95,0.0569920844327173
"75",1500,90.21,NA
"76",0,90.06,0.0187335092348282
"77",1530,90.17,NA
"78",1560,90.21,0.0556728232189977
"79",0,90.14,0.0187335092348282
"80",1590,90.07,0.0554089709762531
"81",1620,89.98,0.0538258575197888
"82",0,89.92,0.0187335092348282
"83",1650,90.08,NA
"84",1680,90.15,NA
"85",0,90.06,0.0187335092348282
"86",1710,90,0.0546174142480215
"87",1740,89.84,0.0551451187335096
"88",0,89.75,0.0187335092348282
"89",1770,89.71,0.0538258575197888
"90",1800,89.89,NA
"91",0,90.04,0.0187335092348282
"92",1830,90.09,NA
"93",1860,90.03,0.0498680738786277
"94",0,89.92,0.0187335092348282
"95",1890,90.06,0.0591029023746695
"96",1920,90.07,0.0509234828496039
"97",0,89.79,0.0187335092348282
"98",1950,89.74,NA
"99",1980,89.79,NA
"100",0,90,0.0187335092348282
"101",2010,90.01,0.0540897097625323
"102",2040,89.92,0.0525065963060681
"103",0,89.67,0.0187335092348282
"104",2070,89.48,0.05197889182058
"105",2100,89.64,NA
"106",0,89.76,0.0187335092348282
"107",2130,89.76,NA
"108",2160,89.83,0.0480211081794189
"109",0,89.92,0.0187335092348282
"110",2190,89.91,0.0554089709762531
"111",2220,89.96,0.0580474934036934
"112",0,90.04,0.0187335092348282
"113",2250,89.94,NA
"114",2280,89.94,0.0509234828496039
"115",0,90.06,0.0187335092348282
"116",2310,90.02,0.0488126649076516
"117",2340,90.08,0.05197889182058
"118",0,89.93,0.0187335092348282
"119",2370,90.33,0.0569920844327173
"120",2400,90.56,NA
"121",0,90.32,0.0187335092348282
"122",2430,90.21,0.0501319261213724
"123",2460,90.01,0.0564643799472292
"124",0,89.98,0.0187335092348282
"125",2490,89.97,0.0527704485488127
"126",2520,89.94,0.0493403693931397
"127",0,89.86,0.0187335092348282
"128",2550,89.78,NA
"129",2580,89.81,0.0538258575197888
"130",0,89.83,0.0187335092348282
"131",2610,89.78,0.0559366754617411
"132",2640,89.81,0.0546174142480215
"133",0,89.83,0.0187335092348282
"134",2670,89.94,0.0527704485488127
"135",2700,89.99,NA
"136",0,89.93,0.0187335092348282
"137",2730,90.04,0.0509234828496039
"138",2760,90.02,0.0506596306068604
"139",0,90.21,0.0187335092348282
"140",2790,90.19,0.051451187335092
"141",2820,89.95,0.0464379947229547
"142",0,89.89,0.0187335092348282
"143",2850,89.92,NA
"144",2880,89.9,0.0538258575197888
"145",0,89.92,0.0187335092348282
"146",2910,89.8,0.0477572559366755
"147",2940,89.73,0.0501319261213724
"148",0,89.86,0.0187335092348282
"149",2970,89.92,0.0493403693931397
"150",3000,90,NA
"151",0,90.08,0.0187335092348282
"152",3030,90.06,0.0511873350923485
"153",3060,90.09,0.0530343007915562
"154",0,89.99,0.0187335092348282
"155",3090,89.86,0.0488126649076516
"156",3120,89.92,0.0522427440633246
"157",0,89.74,0.0187335092348282
"158",3150,89.82,NA
"159",3180,90.04,0.0493403693931397
"160",0,90.06,0.0187335092348282
"161",3210,90.08,0.0511873350923485
"162",3240,90.32,0.0445910290237471
"163",0,90.42,0.0187335092348282
"164",3270,90.36,0.051451187335092
"165",3300,90.07,NA
"166",0,89.94,0.0187335092348282
"167",3330,89.97,0.0575197889182053
"168",3360,89.87,0.0562005277044857
"169",0,89.83,0.0187335092348282
"170",3390,89.9,0.0517150395778366
"171",3420,89.87,0.0490765171503951
"172",0,89.93,0.0187335092348282
"173",3450,89.89,NA
"174",3480,89.86,0.044063324538259
"175",0,89.92,0.0187335092348282
"176",3510,89.95,0.0525065963060681
"177",3540,89.95,0.0427440633245382
"178",0,89.82,0.0187335092348282
"179",3570,89.76,0.0461741424802113
"180",3600,89.75,NA
"181",0,89.72,0.0187335092348282
"182",3630,89.66,0.0456464379947232
"183",3660,89.8,0.0530343007915562
"184",0,90.14,0.0187335092348282
"185",3690,90.2,0.0506596306068604
"186",3720,90.02,0.051451187335092
"187",0,89.94,0.0187335092348282
"188",3750,90.06,NA
"189",3780,90.02,0.0498680738786277
"190",0,90.16,0.0187335092348282
"191",3810,90.07,0.051451187335092
"192",3840,90.11,0.048548812664907
"193",0,90.02,0.0187335092348282
"194",3870,89.9,0.0459102902374666
"195",3900,90,NA
"196",0,90.25,0.0187335092348282
"197",3930,90.2,0.0480211081794189
"198",3960,90.26,0.0482849604221635
"199",0,90.14,0.0187335092348282
"200",3990,90.26,0.0474934036939309
"201",4020,90.49,0.0490765171503951
"202",0,90.19,0.0187335092348282
"203",4050,90.33,NA
"204",4080,90.51,0.0482849604221635
"205",0,90.4,0.0187335092348282
"206",4110,90.49,0.0474934036939309
"207",4140,90.14,0.0459102902374666
"208",0,89.92,0.0187335092348282
"209",4170,89.86,0.0459102902374666
"210",4200,89.97,NA
"211",0,90.01,0.0187335092348282
"212",4230,89.9,0.0501319261213724
"213",4260,89.88,0.0472295514511874
"214",0,90.07,0.0187335092348282
"215",4290,85.99,0.0477572559366755
"216",4320,85.05,NA
"217",0,82.73,0.0187335092348282
"218",4350,81.08,0.0456464379947232
"219",4380,79.91,0.0482849604221635
"220",0,78.74,0.0187335092348282
"221",4410,77.82,0.0503957783641158
"222",4440,76.85,0.0469656992084428
"223",0,75.75,0.0187335092348282
"224",4470,74.54,NA
"225",4500,74.84,0.051451187335092
"226",0,76.72,0.0187335092348282
"227",4530,76.68,0.0488126649076516
"228",4560,75.35,0.0490765171503951
"229",0,73.65,0.0187335092348282
"230",4590,71.79,0.044063324538259
"231",4620,69.64,NA
"232",0,67.03,0.0187335092348282
"233",4650,64.63,0.0472295514511874
"234",4680,62.18,0.0474934036939309
"235",0,59.77,0.0187335092348282
"236",4710,57.57,0.0493403693931397
"237",4740,55.51,NA
"238",0,53.7,0.0187335092348282
"239",4770,51.87,0.0496042216358843
"240",4800,50.31,0.0469656992084428
"241",0,48.86,0.0187335092348282
"242",4830,47.51,NA
"243",4860,46.31,0.0482849604221635
"244",0,45.22,0.0187335092348282
"245",4890,44.22,0.0490765171503951
"246",4920,43.34,0.0464379947229547
"247",0,42.49,0.0187335092348282
"248",4950,41.68,NA
"249",4980,40.95,0.0551451187335096
"250",0,40.31,0.0187335092348282
"251",5010,39.73,0.0517150395778366
"252",5040,39.14,0.0416886543535621
"253",0,38.59,0.0187335092348282
"254",5070,38.09,NA
"255",5100,37.59,0.0522427440633246
"256",0,37.13,0.0187335092348282
"257",5130,36.68,0.0543535620052769
"258",5160,36.28,NA
"259",0,35.89,0.0187335092348282
"260",5190,35.5,0.0501319261213724
"261",5220,35.1,0.0490765171503951
"262",0,34.77,0.0187335092348282
"263",5250,34.42,0.0496042216358843
"264",5280,34.1,0.0445910290237471
"265",0,33.77,0.0187335092348282
"266",5310,33.45,NA
"267",5340,33.11,0.0522427440633246
"268",0,32.81,0.0187335092348282
"269",5370,32.5,0.0501319261213724
"270",5400,32.23,NA
"271",0,31.94,0.0187335092348282
"272",5430,31.65,NA
"273",5460,31.39,0.0488126649076516
"274",0,31.14,0.0187335092348282
"275",5490,30.89,NA
"276",5520,30.62,NA
"277",0,30.37,0.0187335092348282
"278",5550,30.15,0.051451187335092
"279",5580,29.92,0.0480211081794189
"280",0,29.7,0.0187335092348282
"281",5610,29.43,0.0459102902374666
"282",5640,29.22,NA
"283",0,29.07,0.0187335092348282
"284",5670,28.84,0.0432717678100263
"285",5700,28.65,0.0493403693931397
"286",0,28.45,0.0187335092348282
"287",5730,28.26,0.0501319261213724
"288",5760,28.09,0.051451187335092
"289",0,27.92,0.0187335092348282
"290",5790,27.73,0.0469656992084428
"291",5820,27.55,0.0480211081794189
"292",0,27.39,0.0187335092348282
"293",5850,27.2,NA
"294",5880,27.04,NA
"295",0,26.86,0.0187335092348282
"296",5910,26.73,0.0477572559366755
"297",5940,26.55,0.0472295514511874
"298",0,26.38,0.0187335092348282
"299",5970,26.2,0.0506596306068604
"300",6000,26.06,0.0522427440633246
"301",0,25.91,0.0187335092348282
"302",6030,25.76,0.0488126649076516
"303",6060,25.59,0.0511873350923485
"304",0,25.44,0.0187335092348282
"305",6090,25.29,0.0461741424802113
"306",6120,25.14,NA
"307",0,25.01,0.0187335092348282
"308",6150,24.84,0.0467018469656993
"309",6180,24.7,0.0480211081794189
"310",0,24.57,0.0187335092348282
"311",6210,24.47,0.0496042216358843
"312",6240,24.34,NA
"313",0,24.22,0.0187335092348282
"314",6270,24.13,0.0467018469656993
"315",6300,24.01,0.0511873350923485
"316",0,23.93,0.0187335092348282
"317",6330,23.85,NA
"318",6360,23.79,0.0464379947229547
"319",0,23.73,0.0187335092348282
"320",6390,23.71,0.051451187335092
"321",6420,23.7,NA
"322",0,23.68,0.0187335092348282
"323",6450,23.68,0.0532981530343008
"324",6480,23.71,0.0493403693931397
"325",0,23.73,0.0187335092348282
"326",6510,23.82,0.048548812664907
"327",6540,23.87,NA
"328",0,23.95,0.0187335092348282
"329",6570,24,0.0525065963060681
"330",6600,24.07,0.0525065963060681
"331",0,24.14,0.0187335092348282
"332",6630,24.23,0.0474934036939309
"333",6660,24.33,NA
"334",0,24.42,0.0187335092348282
"335",6690,24.55,NA
"336",6720,24.62,0.0461741424802113
"337",0,24.71,0.0187335092348282
"338",6750,24.83,NA
"339",6780,24.95,0.0435356200527698
"340",0,25.03,0.0187335092348282
"341",6810,25.14,0.0461741424802113
"342",6840,25.21,NA
"343",0,25.29,0.0187335092348282
"344",6870,25.33,0.0459102902374666
"345",6900,25.4,0.05197889182058
"346",0,25.42,0.0187335092348282
"347",6930,25.44,0.0543535620052769
"348",6960,25.49,0.051451187335092
"349",0,25.5,0.0187335092348282
"350",6990,25.56,0.0530343007915562
"351",7020,25.54,0.0525065963060681
"352",0,25.48,0.0187335092348282
"353",7050,25.47,NA
"354",7080,25.39,0.0488126649076516
"355",0,25.34,0.0187335092348282
"356",7110,25.27,0.0509234828496039
"357",7140,25.25,0.0522427440633246
"358",0,25.23,0.0187335092348282
"359",7170,25.21,0.05197889182058
"360",7200,25.13,0.0480211081794189
"361",0,25.06,0.0187335092348282
"362",7230,24.99,NA
"363",7260,24.94,NA
"364",0,24.9,0.0187335092348282
"365",7290,24.91,0.0551451187335096
"366",7320,24.89,0.0477572559366755
"367",0,24.86,0.0187335092348282
"368",7350,24.82,NA
"369",7380,24.8,0.048548812664907
"370",0,24.78,0.0187335092348282
"371",7410,24.72,0.0530343007915562
"372",7440,24.74,0.0572559366754619
"373",0,24.73,0.0187335092348282
"374",7470,24.74,0.0559366754617411
"375",7500,24.72,0.0596306068601576
"376",0,24.74,0.0187335092348282
"377",7530,24.74,NA
"378",7560,24.76,0.0493403693931397
"379",0,24.77,0.0187335092348282
"380",7590,24.8,NA
"381",7620,24.79,0.0585751978891815
"382",0,24.78,0.0187335092348282
"383",7650,24.75,0.0559366754617411
"384",7680,24.77,NA
"385",0,24.8,0.0187335092348282
"386",7710,24.84,0.0591029023746695
"387",7740,24.86,0.0614775725593664
"388",0,24.86,0.0187335092348282
"389",7770,24.87,0.0551451187335096
"390",7800,24.89,0.0562005277044857
"391",0,24.9,0.0187335092348282
"392",7830,24.92,0.05197889182058
"393",7860,24.94,NA
"394",0,24.94,0.0187335092348282
"395",7890,24.95,0.0593667546174142
"396",7920,24.91,0.061213720316623
"397",0,24.95,0.0187335092348282
"398",7950,24.96,NA
"399",7980,24.93,0.0593667546174142
"400",0,24.91,0.0187335092348282
"401",8010,24.94,0.0620052770448545
"402",8040,24.96,NA
"403",0,24.98,0.0187335092348282
"404",8070,24.97,0.061213720316623
"405",8100,25.03,0.0562005277044857
"406",0,25,0.0187335092348282
"407",8130,24.95,NA
"408",8160,24.93,0.061213720316623
"409",0,24.97,0.0187335092348282
"410",8190,24.94,0.0627968337730872
"411",8220,24.96,0.0554089709762531
"412",0,24.96,0.0187335092348282
"413",8250,24.96,0.0596306068601576
"414",8280,24.97,NA
"415",0,25,0.0187335092348282
"416",8310,24.95,0.0622691292875991
"417",8340,24.93,0.0593667546174142
"418",0,24.94,0.0187335092348282
"419",8370,24.94,NA
"420",8400,24.95,0.0585751978891815
"421",0,24.93,0.0187335092348282
"422",8430,24.94,0.0604221635883903
"423",8460,24.96,NA
"424",0,24.94,0.0187335092348282
"425",8490,24.91,0.0622691292875991
"426",8520,24.89,0.0585751978891815
"427",0,24.91,0.0187335092348282
"428",8550,24.95,NA
"429",8580,24.93,0.0614775725593664
"430",0,24.91,0.0187335092348282
"431",8610,24.94,0.0627968337730872
"432",8640,24.94,NA
"433",0,24.89,0.0187335092348282
"434",8670,24.91,0.0625329815303426
"435",8700,24.94,NA
"436",0,24.91,0.0187335092348282
"437",8730,24.89,0.058311345646438
"438",8760,24.91,0.0627968337730872
"439",0,24.91,0.0187335092348282
"440",8790,24.91,NA
"441",8820,24.95,0.0649076517150395
"442",0,24.97,0.0187335092348282
"443",8850,24.97,0.0633245382585753
"444",8880,24.94,0.0591029023746695
"445",0,24.96,0.0187335092348282
"446",8910,24.95,0.0625329815303426
"447",8940,24.95,0.0633245382585753
"448",0,24.93,0.0187335092348282
"449",8970,24.97,0.0580474934036934
"450",9000,24.94,0.0643799472295514
"451",0,24.96,0.0187335092348282
"452",9030,24.97,NA
"453",9060,24.97,0.0659630606860156
"454",0,24.96,0.0187335092348282
"455",9090,24.98,0.0591029023746695
"456",9120,25.01,0.0627968337730872
"457",0,24.99,0.0187335092348282
"458",9150,24.93,0.0593667546174142
"459",9180,24.96,NA
"460",0,24.98,0.0187335092348282
"461",9210,24.98,0.0641160949868068
"462",9240,24.99,0.0635883905013187
"463",0,24.97,0.0187335092348282
"464",9270,24.93,NA
"465",9300,24.96,0.0641160949868068
"466",0,24.98,0.0187335092348282
"467",9330,24.97,0.0569920844327173
"468",9360,24.98,NA
"469",0,24.97,0.0187335092348282
"470",9390,28.13,0.0593667546174142
"471",9420,30.61,NA
"472",0,29.85,0.0187335092348282
"473",9450,30.11,0.0614775725593664
"474",9480,31.65,0.0598944591029022
"475",0,32.86,0.0187335092348282
"476",9510,34.07,NA
"477",9540,35.71,0.0598944591029022
"478",0,37.43,0.0187335092348282
"479",9570,38.23,NA
"480",9600,38.91,0.0593667546174142
"481",0,40.4,0.0187335092348282
"482",9630,42.07,NA
"483",9660,44.4,0.0604221635883903
"484",0,46.66,0.0187335092348282
"485",9690,48.88,0.0567282321899738
"486",9720,51.39,0.0622691292875991
"487",0,54.03,0.0187335092348282
"488",9750,57.01,0.0614775725593664
"489",9780,59.92,NA
"490",0,62.72,0.0187335092348282
"491",9810,65.84,0.0609498680738784
"492",9840,68.94,NA
"493",0,71.92,0.0187335092348282
"494",9870,75.32,0.0585751978891815
"495",9900,78.73,NA
"496",0,82.15,0.0187335092348282
"497",9930,85,0.0591029023746695
"498",9960,88.31,0.0564643799472292
"499",0,91.65,0.0187335092348282
"500",9990,93.81,0.0601583113456468
"501",10020,95.14,NA
"502",0,96.16,0.0187335092348282
"503",10050,96.69,0.0564643799472292
"504",10080,96.97,0.0591029023746695
"505",0,97.19,0.0187335092348282
"506",10110,97.45,0.0593667546174142
"507",10140,97.59,0.0538258575197888
"508",0,97.66,0.0187335092348282
"509",10170,97.7,NA
"510",10200,97.57,NA
"511",0,97.33,0.0187335092348282
"512",10230,96.85,0.0593667546174142
"513",10260,95.84,NA
"514",0,94.29,0.0187335092348282
"515",10290,92.92,0.0572559366754619
"516",10320,91.85,0.0609498680738784
"517",0,90.75,0.0187335092348282
"518",10350,90.01,0.0596306068601576
"519",10380,89.61,NA
"520",0,89.12,0.0187335092348282
"521",10410,88.79,0.0664907651715037
"522",10440,88.5,0.0593667546174142
"523",0,88.41,0.0187335092348282
"524",10470,88.33,NA
"525",10500,88.57,0.0591029023746695
"526",0,88.5,0.0187335092348282
"527",10530,88.71,0.0609498680738784
"528",10560,88.69,0.0591029023746695
"529",0,88.76,0.0187335092348282
"530",10590,88.84,NA
"531",10620,89.18,NA
"532",0,89.45,0.0187335092348282
"533",10650,89.59,NA
"534",10680,89.56,NA
"535",0,89.73,0.0187335092348282
"536",10710,89.94,0.0606860158311349
"537",10740,90.02,0.0604221635883903
"538",0,90.23,0.0187335092348282
"539",10770,90.65,0.0620052770448545
"540",10800,90.79,NA
"541",0,90.8,0.0187335092348282
"542",10830,90.59,0.0635883905013187
"543",10860,90.28,0.0609498680738784
"544",0,90.16,0.0187335092348282
"545",10890,90.38,NA
"546",10920,90.73,NA
"547",0,90.62,0.0187335092348282
"548",10950,90.56,NA
"549",10980,90.41,0.0627968337730872
"550",0,90.34,0.0187335092348282
"551",11010,90.2,0.0633245382585753
"552",11040,90.14,0.0627968337730872
"553",0,90.13,0.0187335092348282
"554",11070,90.17,NA
"555",11100,90.09,NA
"556",0,89.62,0.0187335092348282
"557",11130,89.79,0.0641160949868068
"558",11160,90.26,NA
"559",0,90.22,0.0187335092348282
"560",11190,89.85,NA
"561",11220,89.55,0.0588390501319261
"562",0,89.57,0.0187335092348282
"563",11250,90.21,0.0662269129287602
"564",11280,90.45,NA
"565",0,90.2,0.0187335092348282
"566",11310,89.97,0.0567282321899738
"567",11340,89.73,0.0591029023746695
"568",0,89.54,0.0187335092348282
"569",11370,89.71,NA
"570",11400,89.93,0.0638522427440633
"571",0,90.16,0.0187335092348282
"572",11430,89.9,0.0596306068601576
"573",11460,89.64,0.0622691292875991
"574",0,89.72,0.0187335092348282
"575",11490,89.78,0.0559366754617411
"576",11520,89.84,0.0622691292875991
"577",0,89.94,0.0187335092348282
"578",11550,90.08,NA
"579",11580,89.98,NA
"580",0,90.07,0.0187335092348282
"581",11610,90.28,NA
"582",11640,90.33,NA
"583",0,90.19,0.0187335092348282
"584",11670,90.09,0.0641160949868068
"585",11700,90.14,0.0656992084432722
"586",0,90.13,0.0187335092348282
"587",11730,90.03,0.0601583113456468
"588",11760,90.12,NA
"589",0,89.95,0.0187335092348282
"590",11790,89.61,0.0625329815303426
"591",11820,89.83,0.0622691292875991
"592",0,90.06,0.0187335092348282
"593",11850,90.45,0.0656992084432722
"594",11880,90.47,NA
"595",0,90.33,0.0187335092348282
"596",11910,89.92,0.0641160949868068
"597",11940,90,0.0635883905013187
"598",0,89.84,0.0187335092348282
"599",11970,89.83,NA
"600",12000,89.8,0.0630606860158306
"601",0,89.73,0.0187335092348282
"602",12030,89.76,0.061741424802111
"603",12060,89.84,0.0641160949868068
"604",0,89.76,0.0187335092348282
"605",12090,89.75,NA
"606",12120,89.88,0.0638522427440633
"607",0,90.16,0.0187335092348282
"608",12150,90.16,NA
"609",12180,90.32,0.0659630606860156
"610",0,90.2,0.0187335092348282
"611",12210,90.31,NA
"612",12240,90.28,0.0614775725593664
"613",0,90.19,0.0187335092348282
"614",12270,90.1,0.0598944591029022
"615",12300,89.86,NA
"616",0,89.83,0.0187335092348282
"617",12330,89.9,NA
"618",12360,90.16,NA
"619",0,90.06,0.0187335092348282
"620",12390,89.64,NA
"621",12420,89.6,NA
"622",0,89.95,0.0187335092348282
"623",12450,90.21,NA
"624",12480,90.25,0.0635883905013187
"625",0,89.92,0.0187335092348282
"626",12510,89.75,0.0580474934036934
"627",12540,89.62,NA
"628",0,89.91,0.0187335092348282
"629",12570,90.23,0.0620052770448545
"630",12600,90.13,NA
"631",0,90.16,0.0187335092348282
"632",12630,90.04,0.0651715039577841
"633",12660,90.08,NA
"634",0,90.13,0.0187335092348282
"635",12690,90.09,NA
"636",12720,89.9,0.0651715039577841
"637",0,89.89,0.0187335092348282
"638",12750,89.76,0.0643799472295514
"639",12780,89.89,NA
"640",0,90.12,0.0187335092348282
"641",12810,90.02,0.0654353562005275
"642",12840,89.94,0.0643799472295514
"643",0,89.83,0.0187335092348282
"644",12870,89.67,0.0633245382585753
"645",12900,89.81,0.0641160949868068
"646",0,89.98,0.0187335092348282
"647",12930,90.04,NA
"648",12960,90.12,0.0540897097625323
"649",0,89.86,0.0187335092348282
"650",12990,90,NA
"651",13020,90.4,NA
"652",0,90.37,0.0187335092348282
"653",13050,90.41,NA
"654",13080,90.19,NA
"655",0,90.15,0.0187335092348282
"656",13110,90.05,0.0598944591029022
"657",13140,90.03,0.0641160949868068
"658",0,89.98,0.0187335092348282
"659",13170,89.95,0.0630606860158306
"660",13200,90.11,0.0662269129287602
"661",0,90.17,0.0187335092348282
"662",13230,90,0.0686015831134559
"663",13260,89.86,0.0654353562005275
"664",0,89.66,0.0187335092348282
"665",13290,89.86,NA
"666",13320,90.04,NA
"667",0,89.97,0.0187335092348282
"668",13350,89.88,NA
"669",13380,89.97,NA
"670",0,90.01,0.0187335092348282
"671",13410,89.89,0.0654353562005275
"672",13440,89.78,0.0630606860158306
"673",0,89.93,0.0187335092348282
"674",13470,89.97,0.0641160949868068
"675",13500,90.07,NA
"676",0,90.03,0.0187335092348282
"677",13530,89.93,NA
"678",13560,89.86,0.0567282321899738
