Date,Time,TPV,TSV,HPV,HSV
 2023-02-02,09:09:49,23.60,23.61,56.42,56.29,
 2023-02-02,09:10:19,24.44,23.65,89.05,57.37,
 2023-02-02,09:10:49,24.34,23.70,78.49,58.50,
 2023-02-02,09:11:19,23.61,23.74,71.08,59.62,
 2023-02-02,09:11:49,23.03,23.79,67.24,60.78,
 2023-02-02,09:12:19,23.00,23.84,66.38,61.87,
 2023-02-02,09:12:49,23.23,23.88,65.24,63.03,
 2023-02-02,09:13:19,23.54,23.93,64.77,64.15,
 2023-02-02,09:13:49,23.85,23.98,65.26,65.28,
 2023-02-02,09:14:19,24.12,24.02,66.85,66.36,
 2023-02-02,09:14:49,24.35,24.07,69.28,67.49,
 2023-02-02,09:15:19,24.54,24.11,72.13,68.61,
 2023-02-02,09:15:49,24.69,24.16,75.02,69.77,
 2023-02-02,09:16:19,24.76,24.21,77.73,70.89,
 2023-02-02,09:16:49,24.79,24.25,80.05,72.02,
 2023-02-02,09:17:19,24.77,24.30,82.06,73.14,
 2023-02-02,09:17:49,24.73,24.35,83.41,74.27,
 2023-02-02,09:18:19,24.67,24.39,84.36,75.39,
 2023-02-02,09:18:49,24.62,24.44,84.63,76.51,
 2023-02-02,09:19:19,24.57,24.49,84.90,77.64,
 2023-02-02,09:19:49,24.55,24.53,84.91,78.76,
 2023-02-02,09:20:19,24.54,24.58,84.48,79.85,
 2023-02-02,09:20:49,24.54,24.62,84.13,80.97,
 2023-02-02,09:21:19,24.59,24.67,83.87,82.13,
 2023-02-02,09:21:49,24.64,24.72,83.45,83.25,
 2023-02-02,09:22:19,24.69,24.76,83.32,84.34,
 2023-02-02,09:22:49,24.75,24.81,83.26,85.50,
 2023-02-02,09:23:19,24.83,24.85,83.32,86.59,
 2023-02-02,09:23:49,24.89,24.90,83.48,87.71,
 2023-02-02,09:24:19,24.96,24.95,83.85,88.87,
 2023-02-02,09:24:49,25.02,24.99,84.37,89.96,
 2023-02-02,09:25:19,25.09,25.00,85.13,90.00,
 2023-02-02,09:25:49,25.14,25.00,86.10,90.00,
 2023-02-02,09:26:19,25.16,25.00,87.08,90.00,
 2023-02-02,09:26:49,25.16,25.00,87.96,90.00,
 2023-02-02,09:27:19,25.15,25.00,88.81,90.00,
 2023-02-02,09:27:49,25.13,25.00,89.64,90.00,
 2023-02-02,09:28:19,25.11,25.00,90.19,90.00,
 2023-02-02,09:28:49,25.08,25.00,90.41,90.00,
 2023-02-02,09:29:19,25.05,25.00,90.70,90.00,
 2023-02-02,09:29:49,25.02,25.00,90.77,90.00,
 2023-02-02,09:30:19,25.01,25.00,90.99,90.00,
