"","time_s","hpv","uptake"
"1",0,47.81,0.0225859247135842
"2",30,33.52,NA
"3",60,29.78,0.026186579378069
"4",90,28.29,0.0238952536824883
"5",120,28.44,0.0268412438625207
"6",150,28.3,0.0265139116202948
"7",180,27.99,NA
"8",210,27.72,0.0307692307692313
"9",240,27.61,0.0245499181669399
"10",270,27.55,0.0291325695581014
"11",300,27.53,0.0253682487725041
"12",330,27.55,NA
"13",360,27.54,0.0325695581014729
"14",390,27.5,0.0343698854337153
"15",420,27.35,0.0302782324058922
"16",450,27.29,0.0247135842880525
"17",480,27.2,NA
"18",510,27.07,0.0274959083469723
"19",540,26.95,0.0247135842880525
"20",570,26.78,0.0253682487725041
"21",600,26.66,0.0322422258592471
"22",630,26.51,NA
"23",660,26.34,0.0250409165302783
"24",690,26.16,0.0230769230769233
"25",720,25.99,0.0289689034369889
"26",750,25.83,0.0266775777414081
"27",780,25.7,NA
"28",810,25.56,0.0301145662847796
"29",840,25.42,0.0284779050736498
"30",870,25.3,0.0256955810147299
"31",900,25.19,0.0242225859247141
"32",930,25.09,NA
"33",960,24.96,0.0266775777414081
"34",990,24.82,0.0260229132569558
"35",1020,24.7,0.0283142389525372
"36",1050,24.57,0.0265139116202948
"37",1080,24.47,NA
"38",1110,24.37,0.0297872340425538
"39",1140,24.25,0.0247135842880525
"40",1170,24.13,0.0276595744680856
"41",1200,23.98,0.0238952536824883
"42",1230,23.88,NA
"43",1260,23.75,0.0265139116202948
"44",1290,23.61,0.0242225859247141
"45",1320,23.54,0.0250409165302783
"46",1350,23.41,NA
"47",1380,23.23,NA
"48",1410,23.11,0.0274959083469723
"49",1440,22.99,0.0266775777414081
"50",1470,22.85,0.0266775777414081
"51",1500,22.72,NA
"52",1530,22.36,NA
"53",1560,21.95,0.0270049099836339
"54",1590,21.66,0.0274959083469723
"55",1620,21.38,0.0312602291325697
"56",1650,20.93,NA
"57",1680,20.47,0.0284779050736498
"58",1710,20.11,0.0247135842880525
"59",1740,19.81,0.0278232405891981
"60",1770,19.43,0.0328968903436995
"61",1800,19.07,NA
"62",1830,18.78,0.0288052373158756
"63",1860,18.55,0.0314238952536829
"64",1890,18.18,0.0283142389525372
"65",1920,17.71,0.0284779050736498
"66",1950,17.4,NA
"67",1980,17.14,0.0307692307692313
"68",2010,16.8,0.0286415711947631
"69",2040,16.39,0.0284779050736498
"70",2070,16.09,NA
"71",2100,15.88,NA
"72",2130,15.64,0.028150572831424
"73",2160,15.24,0.0299509001636664
"74",2190,14.95,0.0315875613747955
"75",2220,14.73,NA
"76",2250,14.55,NA
"77",2280,14.22,0.0278232405891981
"78",2310,13.98,0.0273322422258598
"79",2340,13.8,0.0320785597381346
"80",2370,13.67,NA
"81",2400,13.32,NA
"82",2430,13.07,0.0291325695581014
"83",2460,12.9,0.0304418985270055
"84",2490,12.77,0.0309328968903438
"85",2520,12.53,NA
"86",2550,12.36,0.0310965630114571
"87",2580,12.24,0.0320785597381346
"88",2610,12.14,0.028150572831424
"89",2640,11.92,0.0381342062193127
"90",2670,11.71,NA
"91",2700,11.58,0.0315875613747955
"92",2730,11.48,0.0345335515548286
"93",2760,11.35,0.0302782324058922
"94",2790,11.24,0.028150572831424
"95",2820,11.12,0.0320785597381346
"96",2850,11.02,0.0289689034369889
"97",2880,10.92,0.0322422258592471
"98",2910,10.8,0.0278232405891981
"99",2940,10.69,NA
"100",2970,10.64,0.0307692307692313
"101",3000,10.59,0.0299509001636664
"102",3030,10.53,0.0360065466448444
"103",3060,10.47,0.0292962356792147
"104",3090,10.41,NA
"105",3120,10.37,0.0346972176759412
"106",3150,10.34,0.0309328968903438
"107",3180,10.33,0.0314238952536829
"108",3210,10.28,NA
"109",3240,10.27,0.0332242225859253
"110",3270,10.24,0.033060556464812
"111",3300,10.22,0.0328968903436995
"112",3330,10.18,0.0315875613747955
"113",3360,10.15,NA
"114",3390,10.12,0.033878887070377
"115",3420,10.12,0.0346972176759412
"116",3450,10.08,NA
"117",3480,10.04,NA
"118",3510,10.04,0.0346972176759412
"119",3540,10.03,0.033060556464812
"120",3570,10,NA
"121",3600,9.98,0.0355155482815061
"122",3630,9.95,0.0328968903436995
"123",3660,9.93,0.0335515548281511
"124",3690,9.91,NA
"125",3720,9.92,NA
"126",3750,9.91,0.0307692307692313
"127",3780,9.89,0.0402618657937809
"128",3810,9.86,0.0312602291325697
"129",3840,9.84,NA
"130",3870,9.81,0.0337152209492637
"131",3900,9.8,0.0328968903436995
"132",3930,9.79,NA
"133",3960,9.76,0.033878887070377
"134",3990,9.75,0.0346972176759412
"135",4020,9.74,0.0320785597381346
"136",4050,9.71,NA
"137",4080,9.69,0.0322422258592471
"138",4110,9.69,0.0296235679214405
"139",4140,9.66,NA
"140",4170,9.65,0.0320785597381346
"141",4200,9.64,0.037479541734861
"142",4230,9.64,NA
"143",4260,9.64,0.0342062193126028
"144",4290,9.6,0.0381342062193127
"145",4320,9.57,NA
"146",4350,9.57,0.0379705400982001
"147",4380,9.57,0.0348608837970544
"148",4410,9.55,NA
"149",4440,9.53,0.0304418985270055
"150",4470,9.51,0.0366612111292968
"151",4500,9.49,NA
"152",4530,9.49,0.0351882160392803
"153",4560,9.49,0.0369885433715226
"154",4590,9.48,0.0348608837970544
"155",4620,9.5,0.0358428805237319
"156",4650,9.52,0.0301145662847796
"157",4680,9.51,0.036333878887071
"158",4710,9.52,NA
"159",4740,9.51,0.0335515548281511
"160",4770,9.49,0.0368248772504094
"161",4800,9.5,0.0327332242225862
"162",4830,9.48,NA
"163",4860,9.49,0.0332242225859253
"164",4890,9.52,0.0342062193126028
"165",4920,9.55,NA
"166",4950,9.53,0.037479541734861
"167",4980,9.52,0.033878887070377
"168",5010,9.51,NA
"169",5040,9.49,0.0405891980360067
"170",5070,9.48,0.0353518821603928
"171",5100,9.5,NA
"172",5130,9.55,0.0325695581014729
"173",5160,9.58,0.0361702127659577
"174",5190,9.56,NA
"175",5220,9.55,0.0335515548281511
"176",5250,9.54,0.035024549918167
"177",5280,9.53,NA
"178",5310,9.53,NA
"179",5340,9.53,0.0360065466448444
"180",5370,9.52,0.0371522094926352
"181",5400,9.51,NA
"182",5430,9.51,0.0322422258592471
"183",5460,9.5,0.037479541734861
"184",5490,9.48,0.0320785597381346
"185",5520,9.48,0.0356792144026186
"186",5550,9.46,NA
"187",5580,9.46,0.0342062193126028
"188",5610,9.47,0.0345335515548286
"189",5640,9.5,0.0345335515548286
"190",5670,9.5,NA
"191",5700,9.49,0.0369885433715226
"192",5730,9.48,0.0342062193126028
"193",5760,9.48,NA
"194",5790,9.48,0.0337152209492637
"195",5820,9.48,0.0325695581014729
"196",5850,9.5,0.0340425531914895
"197",5880,9.52,NA
"198",5910,9.55,0.033060556464812
"199",5940,9.55,0.0307692307692313
"200",5970,9.56,0.0342062193126028
"201",6000,9.55,0.0332242225859253
"202",6030,9.55,0.0328968903436995
"203",6060,9.56,NA
"204",6090,9.55,0.0337152209492637
"205",6120,9.54,0.033878887070377
"206",6150,9.54,NA
"207",6180,9.52,NA
