"","time_s","hpv","uptake"
"1",0,77.22,0.0214975845410635
"2",30,81.11,0.0543478260869568
"3",60,59.83,NA
"4",90,46.63,0.0898550724637683
"5",120,39.2,0.0985507246376814
"6",150,34.55,0.105797101449276
"7",180,30.71,NA
"8",210,28.21,NA
"9",240,26.33,0.115217391304348
"10",270,25.02,0.118357487922706
"11",300,24.01,0.123188405797102
"12",330,23.15,NA
"13",360,22.44,NA
"14",390,21.94,0.120531400966184
"15",420,21.44,0.126570048309179
"16",450,21.03,0.129710144927537
"17",480,20.69,NA
"18",510,20.35,NA
"19",540,20.03,0.131642512077295
"20",570,19.71,0.138647342995169
"21",600,19.44,0.131884057971015
"22",630,19.13,NA
"23",660,18.82,NA
"24",690,18.59,0.135748792270532
"25",720,18.33,0.133574879227053
"26",750,18.08,0.136473429951692
"27",780,17.84,NA
"28",810,17.64,NA
"29",840,17.44,0.140096618357488
"30",870,17.18,0.142028985507247
"31",900,16.91,0.141304347826087
"32",930,16.72,NA
"33",960,16.52,NA
"34",990,16.36,0.139130434782609
"35",1020,16.19,0.142995169082126
"36",1050,16,0.142028985507247
"37",1080,15.83,NA
"38",1110,15.64,0.143719806763285
"39",1140,15.48,0.139371980676329
"40",1170,15.33,0.141545893719808
"41",1200,15.14,0.142753623188406
"42",1230,14.99,NA
"43",1260,14.86,NA
"44",1290,14.71,0.144444444444445
"45",1320,14.58,0.143478260869566
"46",1350,14.43,0.142270531400966
"47",1380,14.28,NA
"48",1410,14.15,0.142270531400966
"49",1440,14.01,0.142753623188406
"50",1470,13.9,0.142270531400966
"51",1500,13.77,0.142753623188406
"52",1530,13.66,NA
"53",1560,13.37,0.142995169082126
"54",1590,13.15,0.141304347826087
"55",1620,13,0.139130434782609
"56",1650,12.89,0.140338164251208
"57",1680,12.68,NA
"58",1710,12.48,0.136473429951692
"59",1740,12.36,0.139613526570048
"60",1770,12.26,0.139613526570048
"61",1800,12.09,0.139613526570048
"62",1830,11.9,NA
"63",1860,11.79,0.135748792270532
"64",1890,11.71,0.140338164251208
"65",1920,11.6,0.136473429951692
"66",1950,11.46,0.134299516908213
"67",1980,11.39,NA
"68",2010,11.32,0.135265700483092
"69",2040,11.26,0.134541062801932
"70",2070,11.13,0.133816425120774
"71",2100,11.02,0.132850241545895
"72",2130,10.97,NA
"73",2160,10.95,0.133091787439614
"74",2190,10.88,NA
"75",2220,10.81,0.132850241545895
"76",2250,10.75,0.133816425120774
"77",2280,10.71,0.129468599033817
"78",2310,10.64,0.127536231884058
"79",2340,10.57,0.130917874396135
"80",2370,10.54,NA
"81",2400,10.49,0.1256038647343
"82",2430,10.42,NA
"83",2460,10.36,0.127536231884058
"84",2490,10.34,0.128019323671498
"85",2520,10.3,NA
"86",2550,10.26,0.124637681159421
"87",2580,10.22,0.1256038647343
"88",2610,10.2,0.124396135265701
"89",2640,10.19,NA
"90",2670,10.16,0.124154589371981
"91",2700,10.13,NA
"92",2730,10.1,0.119323671497585
"93",2760,10.08,0.119806763285024
"94",2790,10.03,0.121014492753624
"95",2820,10.01,NA
"96",2850,10,0.117874396135266
"97",2880,9.96,0.119806763285024
"98",2910,9.94,0.115700483091787
"99",2940,9.91,NA
"100",2970,9.89,0.117874396135266
"101",3000,9.88,0.120531400966184
"102",3030,9.84,0.11400966183575
"103",3060,9.81,0.118357487922706
"104",3090,9.77,0.11328502415459
"105",3120,9.77,0.117874396135266
"106",3150,9.76,0.116908212560387
"107",3180,9.72,0.114251207729469
"108",3210,9.71,0.114251207729469
"109",3240,9.69,NA
"110",3270,9.67,0.113768115942029
"111",3300,9.65,0.113768115942029
"112",3330,9.63,NA
"113",3360,9.58,0.111835748792271
"114",3390,9.57,0.110386473429952
"115",3420,9.56,0.110386473429952
"116",3450,9.53,0.11352657004831
"117",3480,9.52,0.115942028985508
"118",3510,9.49,NA
"119",3540,9.45,0.109420289855073
"120",3570,9.43,NA
"121",3600,9.42,0.109903381642513
"122",3630,9.4,NA
"123",3660,9.4,NA
"124",3690,9.42,0.113768115942029
"125",3720,9.4,0.112560386473431
"126",3750,9.38,NA
"127",3780,9.38,0.107971014492754
"128",3810,9.38,0.110869565217392
"129",3840,9.38,0.106521739130435
"130",3870,9.38,0.111111111111111
"131",3900,9.4,NA
"132",3930,9.43,0.107487922705315
"133",3960,9.45,0.108937198067634
"134",3990,9.44,0.108212560386474
"135",4020,9.42,0.108695652173913
"136",4050,9.4,0.103623188405797
"137",4080,9.4,0.108454106280194
"138",4110,9.38,0.107971014492754
"139",4140,9.4,0.103864734299518
"140",4170,9.49,0.105555555555556
"141",4200,9.52,0.105555555555556
"142",4230,9.51,NA
"143",4260,9.49,0.107971014492754
"144",4290,9.47,0.10048309178744
"145",4320,9.48,NA
"146",4350,9.47,0.108212560386474
"147",4380,9.44,NA
"148",4410,9.47,0.106038647342995
"149",4440,9.5,0.102415458937199
"150",4470,9.5,0.106521739130435
"151",4500,9.49,0.102657004830918
"152",4530,9.5,NA
"153",4560,9.52,0.107971014492754
"154",4590,9.5,0.108454106280194
"155",4620,9.5,0.107971014492754
"156",4650,9.47,0.103381642512078
"157",4680,9.45,0.109661835748792
"158",4710,9.43,NA
"159",4740,9.41,NA
"160",4770,9.43,0.10024154589372
"161",4800,9.44,NA
"162",4830,9.44,0.1
"163",4860,9.44,NA
"164",4890,9.49,0.105797101449276
"165",4920,9.52,0.103864734299518
"166",4950,9.54,0.107246376811595
"167",4980,9.54,NA
"168",5010,9.52,NA
"169",5040,9.5,NA
"170",5070,9.49,0.106521739130435
"171",5100,9.45,0.105314009661836
"172",5130,9.47,0.105797101449276
"173",5160,9.5,0.105797101449276
"174",5190,9.51,0.105555555555556
"175",5220,9.51,NA
"176",5250,9.49,0.102173913043479
"177",5280,9.46,NA
"178",5310,9.44,0.0980676328502419
"179",5340,9.42,0.102173913043479
"180",5370,9.41,0.102657004830918
"181",5400,9.45,0.104106280193237
"182",5430,9.45,0.10072463768116
"183",5460,9.46,NA
"184",5490,9.43,NA
"185",5520,9.44,NA
"186",5550,9.47,NA
"187",5580,9.48,0.106038647342995
"188",5610,9.47,0.104589371980676
"189",5640,9.54,0.106763285024155
"190",5670,9.56,0.103140096618358
"191",5700,9.55,NA
"192",5730,9.53,0.0995169082125606
"193",5760,9.52,0.103381642512078
"194",5790,9.52,0.104106280193237
"195",5820,9.49,0.104106280193237
"196",5850,9.47,0.104106280193237
"197",5880,9.5,0.104347826086957
"198",5910,9.52,0.103623188405797
"199",5940,9.52,NA
"200",5970,9.51,NA
"201",6000,9.5,NA
"202",6030,9.47,0.104830917874397
"203",6060,9.45,0.103623188405797
"204",6090,9.44,NA
"205",6120,9.47,0.104589371980676
"206",6150,9.51,0.1012077294686
"207",6180,9.54,0.105797101449276
"208",6210,9.54,NA
"209",6240,9.52,0.110869565217392
"210",6270,9.5,0.103864734299518
"211",6300,9.5,0.103623188405797
"212",6330,9.48,0.103140096618358
"213",6360,9.49,NA
"214",6390,9.53,NA
"215",6420,9.53,0.101690821256039
"216",6450,9.53,NA
"217",6480,9.52,0.106038647342995
"218",6510,9.52,0.101449275362319
"219",6540,9.52,0.10072463768116
"220",6570,9.5,NA
"221",6600,9.48,0.105072463768116
"222",6630,9.46,0.10072463768116
"223",6660,9.44,NA
"224",6690,9.42,0.106280193236715
"225",6720,9.41,0.105072463768116
"226",6750,9.46,0.101932367149758
"227",6780,9.49,NA
"228",6810,9.51,NA
"229",6840,9.52,0.105314009661836
"230",6870,9.51,NA
"231",6900,9.51,0.105072463768116
"232",6930,9.48,0.105555555555556
"233",6960,9.48,NA
"234",6990,9.52,0.103140096618358
"235",7020,9.53,0.100966183574879
"236",7050,9.55,0.102173913043479
"237",7080,9.55,NA
"238",7110,9.55,NA
"239",7140,9.52,NA
"240",7170,9.5,NA
"241",7200,9.48,0.105555555555556
"242",7230,9.5,0.103623188405797
"243",7260,9.48,NA
"244",7290,9.45,0.105555555555556
"245",7320,9.43,NA
"246",7350,9.43,0.105072463768116
"247",7380,9.47,NA
"248",7410,9.51,NA
"249",7440,9.52,NA
"250",7470,9.51,0.0997584541062809
"251",7500,9.5,NA
"252",7530,9.5,NA
"253",7560,9.48,0.103140096618358
"254",7590,9.48,0.10024154589372
"255",7620,9.51,0.105314009661836
"256",7650,9.55,NA
"257",7680,9.56,0.0997584541062809
"258",7710,9.57,NA
"259",7740,9.56,0.107004830917875
"260",7770,9.55,0.103140096618358
"261",7800,9.55,NA
"262",7830,9.51,NA
"263",7860,9.5,0.105797101449276
"264",7890,9.49,0.104830917874397
"265",7920,9.46,NA
"266",7950,9.47,0.107729468599034
"267",7980,9.54,NA
"268",8010,9.61,0.103140096618358
"269",8040,9.64,0.102173913043479
"270",8070,9.62,NA
"271",8100,9.62,NA
"272",8130,9.61,0.104347826086957
"273",8160,9.61,0.102173913043479
"274",8190,9.62,0.101690821256039
"275",8220,9.61,0.10048309178744
"276",8250,9.57,NA
"277",8280,9.57,0.104347826086957
"278",8310,9.56,0.102415458937199
"279",8340,9.54,0.102898550724639
"280",8370,9.54,0.108212560386474
"281",8400,9.54,0.104589371980676
"282",8430,9.53,NA
"283",8460,9.53,0.102173913043479
"284",8490,9.52,NA
"285",8520,9.51,NA
"286",8550,9.49,NA
"287",8580,9.5,0.106521739130435
"288",8610,9.48,NA
"289",8640,9.49,NA
"290",8670,9.48,0.104106280193237
"291",8700,9.5,NA
"292",8730,9.54,0.109661835748792
"293",8760,9.55,0.106521739130435
"294",8790,9.53,0.103864734299518
"295",8820,9.54,NA
"296",8850,9.55,0.105555555555556
"297",8880,9.56,0.101690821256039
"298",8910,9.55,0.104830917874397
"299",8940,9.57,0.104830917874397
"300",8970,9.56,NA
"301",9000,9.55,0.103381642512078
"302",9030,9.54,0.0968599033816424
"303",9060,9.53,0.103623188405797
"304",9090,9.52,0.103381642512078
"305",9120,9.52,NA
"306",9150,9.55,0.105314009661836
"307",9180,9.57,0.103140096618358
"308",9210,9.55,0.103623188405797
"309",9240,9.52,0.102657004830918
"310",9270,9.53,NA
"311",9300,9.52,0.104347826086957
"312",9330,9.42,0.104347826086957
"313",9360,9.08,0.105797101449276
"314",9390,8.91,0.103140096618358
"315",9420,8.84,NA
"316",9450,8.81,0.102657004830918
"317",9480,8.78,0.103864734299518
"318",9510,8.76,0.104589371980676
"319",9540,8.83,NA
"320",9570,8.87,0.104589371980676
"321",9600,8.89,0.104347826086957
"322",9630,8.88,0.102657004830918
"323",9660,9.03,0.103140096618358
"324",9690,9.15,NA
"325",9720,9.21,0.102415458937199
"326",9750,9.27,0.1012077294686
"327",9780,9.53,0.102415458937199
"328",9810,9.8,0.104589371980676
"329",9840,9.93,NA
"330",9870,10.03,0.102173913043479
"331",9900,10.25,0.10048309178744
"332",9930,10.49,0.10048309178744
"333",9960,10.6,NA
"334",9990,10.68,0.099033816425121
"335",10020,11.01,0.104347826086957
"336",10050,11.5,0.101932367149758
"337",10080,11.8,0.104589371980676
"338",10110,11.97,NA
"339",10140,12.31,0.103623188405797
"340",10170,12.71,0.102415458937199
"341",10200,12.94,0.105555555555556
"342",10230,13.07,NA
"343",10260,13.33,0.107004830917875
"344",10290,13.77,0.108937198067634
"345",10320,14.04,0.107729468599034
"346",10350,14.17,0.108695652173913
"347",10380,14.39,NA
"348",10410,14.88,0.111835748792271
"349",10440,15.19,0.106763285024155
"350",10470,15.43,0.112560386473431
"351",10500,15.61,NA
"352",10530,16.16,0.113768115942029
"353",10560,16.59,NA
"354",10590,17,0.120048309178745
"355",10620,17.55,0.117874396135266
"356",10650,18.11,NA
"357",10680,18.56,NA
"358",10710,19.01,0.122946859903382
"359",10740,19.56,0.123671497584542
"360",10770,20.1,NA
"361",10800,20.47,0.12608695652174
"362",10830,20.82,NA
"363",10860,21.12,0.129468599033817
"364",10890,21.17,0.131884057971015
"365",10920,21.14,0.139130434782609
"366",10950,21.13,NA
"367",10980,21.14,0.133091787439614
"368",11010,20.86,0.141787439613527
"369",11040,20.46,NA
"370",11070,20.05,0.142512077294687
"371",11100,19.67,NA
"372",11130,19.37,0.147101449275363
"373",11160,19.15,0.15048309178744
"374",11190,18.91,0.148550724637682
"375",11220,18.69,0.147826086956522
"376",11250,18.61,NA
"377",11280,18.69,0.152657004830919
"378",11310,18.71,NA
"379",11340,18.69,0.1512077294686
"380",11370,18.77,NA
"381",11400,18.96,0.156038647342996
"382",11430,19.13,NA
"383",11460,19.24,0.155555555555556
"384",11490,19.22,NA
"385",11520,19.13,0.159178743961353
"386",11550,19.13,0.158454106280193
"387",11580,19.16,0.161835748792271
"388",11610,19.14,NA
"389",11640,19.07,0.161594202898551
"390",11670,19.03,0.161835748792271
"391",11700,19,0.164975845410628
"392",11730,18.93,NA
"393",11760,18.81,0.167874396135266
"394",11790,18.64,0.167874396135266
"395",11820,18.52,0.164734299516909
"396",11850,18.48,0.164251207729469
"397",11880,18.45,0.166666666666667
"398",11910,18.38,NA
"399",11940,18.31,0.164251207729469
"400",11970,18.23,0.167874396135266
"401",12000,18.19,0.169323671497585
"402",12030,18.31,NA
"403",12060,18.37,0.170772946859904
"404",12090,18.28,0.164734299516909
"405",12120,18,0.171497584541064
"406",12150,17.78,NA
"407",12180,17.67,0.175120772946861
"408",12210,17.64,0.171256038647343
"409",12240,17.63,0.1756038647343
"410",12270,17.54,0.170772946859904
"411",12300,17.41,0.172222222222222
"412",12330,17.31,0.171739130434783
"413",12360,17.23,0.170772946859904
"414",12390,17.2,NA
"415",12420,17.16,0.171980676328503
"416",12450,17.12,NA
"417",12480,17.06,0.173671497584541
"418",12510,16.99,NA
"419",12540,16.9,0.173913043478261
"420",12570,16.81,NA
"421",12600,16.72,0.173913043478261
"422",12630,16.67,NA
"423",12660,16.64,0.173188405797102
"424",12690,16.59,0.17536231884058
"425",12720,16.5,0.174879227053141
"426",12750,16.44,NA
"427",12780,16.34,0.170289855072464
"428",12810,16.23,0.173671497584541
"429",12840,16.21,NA
"430",12870,16.17,0.170531400966185
"431",12900,16.13,NA
"432",12930,16.13,0.172463768115943
"433",12960,16.13,NA
"434",12990,16.11,0.177536231884059
"435",13020,16.02,0.173913043478261
"436",13050,15.95,NA
"437",13080,15.9,0.170531400966185
"438",13110,15.87,0.17536231884058
"439",13140,15.85,NA
"440",13170,15.82,0.171256038647343
"441",13200,15.8,0.171256038647343
"442",13230,15.73,NA
"443",13260,15.68,0.170772946859904
"444",13290,15.67,0.168599033816425
"445",13320,15.66,NA
"446",13350,15.64,0.168357487922706
"447",13380,15.62,NA
"448",13410,15.63,0.173188405797102
"449",13440,15.62,0.173188405797102
"450",13470,15.63,0.170531400966185
"451",13500,15.61,0.172946859903382
"452",13530,15.57,0.169082125603865
"453",13560,15.55,0.169323671497585
"454",13590,15.56,0.174879227053141
"455",13620,15.56,NA
"456",13650,15.53,NA
"457",13680,15.48,NA
"458",13710,15.48,0.169806763285025
"459",13740,15.51,0.171256038647343
"460",13770,15.51,NA
"461",13800,15.49,0.170531400966185
"462",13830,15.47,NA
"463",13860,15.42,0.171497584541064
"464",13890,15.36,0.168840579710146
"465",13920,15.36,0.167874396135266
"466",13950,15.37,NA
"467",13980,15.38,NA
"468",14010,15.32,0.169323671497585
"469",14040,15.27,0.170289855072464
"470",14070,15.25,NA
"471",14100,15.23,0.167149758454107
"472",14130,15.23,0.166908212560387
"473",14160,15.25,NA
"474",14190,15.24,NA
"475",14220,15.2,0.168599033816425
"476",14250,15.16,0.166666666666667
"477",14280,15.17,0.167632850241546
"478",14310,15.14,0.165700483091788
"479",14340,15.1,0.164975845410628
"480",14370,15.05,NA
"481",14400,15.09,0.171256038647343
"482",14430,15.17,0.167391304347827
"483",14460,15.35,0.168840579710146
"484",14490,15.49,0.165217391304348
"485",14520,15.56,NA
"486",14550,15.56,NA
"487",14580,15.48,0.167632850241546
"488",14610,15.37,0.168357487922706
"489",14640,15.29,0.164734299516909
"490",14670,15.32,NA
"491",14700,15.33,0.164734299516909
"492",14730,14.29,0.170048309178744
"493",14760,10.96,NA
"494",14790,10.32,0.164492753623188
"495",14820,10.98,0.169082125603865
"496",14850,11.85,0.167632850241546
