"","time_s","hpv","uptake"
"1",0,55.93,0.0548245614035085
"2",30,85.18,0.0675438596491221
"3",60,76.09,NA
"4",90,69.26,0.111622807017544
"5",120,65.47,0.120175438596491
"6",150,62.54,0.135526315789473
"7",180,60.21,NA
"8",210,58.11,NA
"9",240,56.24,0.164035087719298
"10",270,54.67,0.168640350877192
"11",300,53.32,0.175438596491228
"12",330,52.16,NA
"13",360,51.1,NA
"14",390,50.12,0.191228070175438
"15",420,49.21,0.19890350877193
"16",450,48.32,0.208771929824561
"17",480,47.58,NA
"18",510,46.82,NA
"19",540,46.07,0.218640350877193
"20",570,45.31,0.220175438596491
"21",600,44.63,0.225657894736842
"22",630,43.95,NA
"23",660,43.4,NA
"24",690,42.87,0.238815789473684
"25",720,42.29,0.240570175438596
"26",750,41.75,0.244078947368421
"27",780,41.27,NA
"28",810,40.82,NA
"29",840,40.44,0.253947368421052
"30",870,40.07,0.25219298245614
"31",900,39.72,0.257017543859649
"32",930,39.36,NA
"33",960,39.04,NA
"34",990,38.69,0.261842105263157
"35",1020,38.37,0.263377192982456
"36",1050,38.07,0.271052631578947
"37",1080,37.83,NA
"38",1110,37.51,NA
"39",1140,37.23,0.262938596491228
"40",1170,36.97,0.26578947368421
"41",1200,36.67,0.276315789473684
"42",1230,36.39,NA
"43",1260,35.8,NA
"44",1290,35.35,0.279824561403508
"45",1320,34.91,0.279605263157894
"46",1350,34.51,0.282017543859649
"47",1380,33.8,NA
"48",1410,33.2,0.271710526315789
"49",1440,32.71,0.283114035087719
"50",1470,32.28,0.276973684210526
"51",1500,31.63,0.280043859649122
"52",1530,31.08,NA
"53",1560,30.65,0.274342105263157
"54",1590,30.29,0.278728070175438
"55",1620,29.58,0.278728070175438
"56",1650,29.03,0.279824561403508
"57",1680,28.59,NA
"58",1710,28.21,0.279166666666666
"59",1740,27.66,0.282675438596491
"60",1770,27.11,0.273026315789473
"61",1800,26.65,0.27938596491228
"62",1830,26.29,0.279605263157894
"63",1860,25.72,0.279824561403508
"64",1890,25.19,NA
"65",1920,24.77,0.276096491228069
"66",1950,24.43,0.274342105263157
"67",1980,24.01,0.273245614035088
"68",2010,23.59,0.273903508771929
"69",2040,23.26,NA
"70",2070,22.94,0.27280701754386
"71",2100,22.55,0.271271929824561
"72",2130,22.13,0.267763157894736
"73",2160,21.76,0.260526315789473
"74",2190,21.44,0.260745614035088
"75",2220,21.13,0.262061403508772
"76",2250,20.71,NA
"77",2280,20.42,0.262719298245613
"78",2310,20.12,0.256578947368421
"79",2340,19.84,0.255701754385965
"80",2370,19.46,0.258333333333333
"81",2400,19.18,NA
"82",2430,18.94,0.251535087719298
"83",2460,18.7,NA
"84",2490,18.34,0.254605263157894
"85",2520,18.06,0.247368421052631
"86",2550,17.81,0.250219298245613
"87",2580,17.57,0.246929824561403
"88",2610,17.25,0.240131578947368
"89",2640,17.02,0.241008771929824
"90",2670,16.78,0.237938596491228
"91",2700,16.58,0.231140350877193
"92",2730,16.35,0.237061403508772
"93",2760,16.15,0.233771929824561
"94",2790,15.99,NA
"95",2820,15.83,0.233771929824561
"96",2850,15.68,NA
"97",2880,15.49,0.224342105263158
"98",2910,15.39,0.221929824561403
"99",2940,15.25,0.216228070175438
"100",2970,15.15,NA
"101",3000,15.02,0.217105263157894
"102",3030,14.95,0.216885964912281
"103",3060,14.86,0.210087719298245
"104",3090,14.77,0.214692982456139
"105",3120,14.71,0.211622807017543
"106",3150,14.65,NA
"107",3180,14.58,NA
"108",3210,14.48,0.200877192982455
"109",3240,14.43,0.205921052631578
"110",3270,14.38,0.198464912280702
"111",3300,14.34,NA
"112",3330,14.25,NA
"113",3360,14.2,0.189912280701754
"114",3390,14.16,0.192982456140351
"115",3420,14.11,0.193421052631579
"116",3450,14.06,NA
"117",3480,14.01,NA
"118",3510,13.96,0.187719298245614
"119",3540,13.87,0.182894736842104
"120",3570,13.81,0.183114035087719
"121",3600,13.76,NA
"122",3630,13.73,NA
"123",3660,13.68,0.180921052631579
"124",3690,13.64,0.17938596491228
"125",3720,13.6,0.173245614035087
"126",3750,13.56,NA
"127",3780,13.5,0.174561403508771
"128",3810,13.41,0.170833333333333
"129",3840,13.36,0.168421052631579
"130",3870,13.34,0.169956140350876
"131",3900,13.33,NA
"132",3930,13.31,0.161403508771929
"133",3960,13.24,0.162061403508772
"134",3990,13.19,0.16578947368421
