"","time_s","hpv","uptake"
"1",0,53,0.0706060606060604
"2",30,93.96,0.10969696969697
"3",60,83.32,NA
"4",90,75.22,0.160606060606061
"5",120,70.1,0.182424242424243
"6",150,65.97,0.195454545454545
"7",180,62.53,0.212727272727272
"8",210,59.12,NA
"9",240,56.06,0.238484848484849
"10",270,53.45,0.25
"11",300,51.47,0.256363636363637
"12",330,49.98,NA
"13",360,48.8,NA
"14",390,47.8,0.276969696969696
"15",420,46.95,0.280606060606061
"16",450,46.12,0.288484848484848
"17",480,45.37,NA
"18",510,44.63,NA
"19",540,44.03,0.305151515151515
"20",570,43.43,0.30060606060606
"21",600,42.89,0.307575757575757
"22",630,42.37,NA
"23",660,41.79,NA
"24",690,41.25,0.318787878787879
"25",720,40.75,0.319393939393939
"26",750,40.29,0.319090909090908
"27",780,39.85,NA
"28",810,39.43,NA
"29",840,39.05,0.328484848484849
"30",870,38.7,0.331818181818181
"31",900,38.37,0.328484848484849
"32",930,38.01,NA
"33",960,37.72,NA
"34",990,37.4,0.336969696969696
"35",1020,37.1,0.337575757575757
"36",1050,36.8,0.338484848484848
"37",1080,36.5,NA
"38",1110,36.21,NA
"39",1140,35.92,0.339393939393939
"40",1170,35.62,0.339090909090909
"41",1200,35.32,0.343636363636364
"42",1230,35.05,NA
"43",1260,34.77,0.339090909090909
"44",1290,34.51,0.338181818181817
"45",1320,34.25,0.344242424242424
"46",1350,33.99,0.343939393939393
"47",1380,33.75,NA
"48",1410,33.52,0.342424242424243
"49",1440,33.27,0.341818181818182
"50",1470,33.04,0.336666666666667
"51",1500,32.78,0.343939393939393
"52",1530,32.53,NA
"53",1560,32.14,0.343030303030303
"54",1590,31.49,0.341515151515151
"55",1620,30.98,0.343030303030303
"56",1650,30.58,0.333030303030302
"57",1680,30.1,NA
"58",1710,29.48,0.333333333333333
"59",1740,28.97,0.336666666666667
"60",1770,28.57,0.332424242424242
"61",1800,28.15,0.326363636363636
"62",1830,27.55,NA
"63",1860,27.04,0.327575757575757
"64",1890,26.61,0.325757575757576
"65",1920,26.25,NA
"66",1950,25.71,0.313333333333333
"67",1980,25.26,0.316969696969697
"68",2010,24.88,0.318787878787879
"69",2040,24.55,0.309696969696969
"70",2070,24.04,NA
"71",2100,23.59,NA
"72",2130,23.2,0.314242424242424
"73",2160,22.9,0.306666666666667
"74",2190,22.38,0.305454545454546
"75",2220,21.95,0.29969696969697
"76",2250,21.58,0.298181818181818
"77",2280,21.27,0.296666666666666
"78",2310,20.88,0.286363636363637
"79",2340,20.5,0.288181818181818
"80",2370,20.17,NA
"81",2400,19.9,0.283030303030303
"82",2430,19.54,NA
"83",2460,19.19,0.279696969696969
"84",2490,18.91,NA
"85",2520,18.63,0.275151515151515
"86",2550,18.33,NA
"87",2580,17.98,0.256060606060606
"88",2610,17.69,0.254545454545455
"89",2640,17.45,0.252424242424242
"90",2670,17.22,0.257575757575758
"91",2700,16.92,NA
"92",2730,16.61,0.243636363636364
"93",2760,16.41,0.236666666666667
"94",2790,16.13,0.238181818181818
"95",2820,15.83,0.228787878787879
"96",2850,15.57,0.230909090909091
"97",2880,15.38,0.227878787878787
"98",2910,15.18,0.22090909090909
"99",2940,14.94,NA
"100",2970,14.71,0.215757575757575
"101",3000,14.54,0.21060606060606
"102",3030,14.39,NA
"103",3060,14.26,0.209393939393939
"104",3090,14.15,0.201515151515152
"105",3120,14.04,NA
"106",3150,13.94,0.195151515151515
"107",3180,13.84,0.189696969696969
"108",3210,13.81,NA
"109",3240,13.75,0.188484848484848
"110",3270,13.65,0.186666666666666
"111",3300,13.59,0.174848484848484
"112",3330,13.53,0.17969696969697
"113",3360,13.49,NA
"114",3390,13.44,0.168181818181818
