"","time_s","hpv","uptake"
"1",0,50.2,0.0210619469026545
"2",30,86.53,0.0281415929203536
"3",60,77.89,NA
"4",90,70.97,0.0433628318584066
"5",120,66.84,0.0366371681415924
"6",150,63.47,0.0461946902654868
"7",180,60.59,NA
"8",210,58.02,NA
"9",240,55.79,0.0463716814159288
"10",270,53.82,0.0477876106194685
"11",300,52.01,0.0523893805309732
"12",330,50.47,NA
"13",360,49.13,NA
"14",390,48.05,0.048849557522124
"15",420,47.18,0.0497345132743359
"16",450,46.4,0.0502654867256637
"17",480,45.67,NA
"18",510,45,NA
"19",540,44.37,0.0532743362831859
"20",570,43.78,0.0516814159292034
"21",600,43.23,0.0460176991150439
"22",630,42.67,NA
"23",660,42.12,NA
"24",690,41.62,0.0453097345132741
"25",720,41.14,0.0515044247787605
"26",750,40.67,0.0546902654867255
"27",780,40.21,NA
"28",810,39.8,NA
"29",840,39.39,0.0492035398230089
"30",870,39.03,0.0536283185840708
"31",900,38.69,0.0527433628318581
"32",930,38.34,NA
"33",960,38.06,NA
"34",990,37.79,0.0541592920353978
"35",1020,37.53,0.0538053097345129
"36",1050,37.23,0.0534513274336279
"37",1080,36.95,NA
"38",1110,36.68,0.052566371681416
"39",1140,36.41,0.0534513274336279
"40",1170,36.17,0.0543362831858406
"41",1200,35.94,0.0522123893805311
"42",1230,35.69,NA
"43",1260,35.46,0.0523893805309732
"44",1290,35.23,0.0520353982300883
"45",1320,34.99,0.0497345132743359
"46",1350,34.75,0.0559292035398231
"47",1380,34.5,NA
"48",1410,34.28,0.0511504424778756
"49",1440,34.05,0.0555752212389382
"50",1470,33.83,0.0506194690265486
"51",1500,33.62,0.0518584070796454
"52",1530,33.14,NA
"53",1560,32.73,0.0532743362831859
"54",1590,32.36,0.0543362831858406
"55",1620,32.01,0.0536283185840708
"56",1650,31.33,0.0495575221238939
"57",1680,30.81,NA
"58",1710,30.34,0.0500884955752208
"59",1740,29.96,0.0515044247787605
"60",1770,29.35,0.0500884955752208
"61",1800,28.82,0.0490265486725661
"62",1830,28.44,0.0461946902654868
"63",1860,28.11,0.0495575221238939
"64",1890,27.52,0.0481415929203534
"65",1920,27.03,NA
"66",1950,26.62,0.0474336283185836
"67",1980,26.28,0.0477876106194685
"68",2010,25.74,NA
"69",2040,25.31,0.0465486725663717
"70",2070,24.99,0.0426548672566368
"71",2100,24.66,0.0438938053097344
"72",2130,24.24,NA
"73",2160,23.81,0.0437168141592915
"74",2190,23.47,0.0454867256637169
"75",2220,23.16,0.0453097345132741
"76",2250,22.77,0.0467256637168137
"77",2280,22.25,0.0465486725663717
"78",2310,21.91,0.0470796460176987
"79",2340,21.58,0.0399999999999995
"80",2370,21.24,0.0446017699115042
"81",2400,20.8,0.0465486725663717
"82",2430,20.43,0.0417699115044249
"83",2460,20.11,0.0440707964601765
"84",2490,19.83,0.0423008849557519
"85",2520,19.45,0.0461946902654868
"86",2550,19.16,0.0453097345132741
"87",2580,18.86,0.0442477876106193
"88",2610,18.6,NA
"89",2640,18.17,NA
"90",2670,17.84,0.0430088495575217
"91",2700,17.6,NA
"92",2730,17.35,NA
"93",2760,16.97,0.0431858407079646
"94",2790,16.67,0.0410619469026543
"95",2820,16.41,0.0433628318584066
"96",2850,16.18,NA
"97",2880,15.9,0.041946902654867
"98",2910,15.68,0.0461946902654868
"99",2940,15.45,NA
"100",2970,15.28,0.0435398230088495
"101",3000,15.13,0.0437168141592915
"102",3030,15.01,NA
"103",3060,14.89,NA
"104",3090,14.78,NA
"105",3120,14.66,NA
"106",3150,14.58,NA
"107",3180,14.5,NA
"108",3210,14.42,NA
"109",3240,14.32,0.0447787610619463
"110",3270,14.26,0.041592920353982
"111",3300,14.19,0.0453097345132741
"112",3330,14.13,0.0453097345132741
"113",3360,14.08,NA
"114",3390,14.03,NA
"115",3420,13.94,0.0396460176991146
"116",3450,13.9,0.0405309734513273
"117",3480,13.84,0.0403539823008844
"118",3510,13.8,0.04141592920354
"119",3540,13.72,0.0437168141592915
"120",3570,13.66,0.04141592920354
"121",3600,13.62,0.0435398230088495
"122",3630,13.56,0.0403539823008844
"123",3660,13.51,0.0424778761061947
"124",3690,13.45,0.0359292035398226
"125",3720,13.38,NA
"126",3750,13.36,0.0435398230088495
"127",3780,13.32,0.0417699115044249
"128",3810,13.27,0.0387610619469027
"129",3840,13.21,NA
"130",3870,13.15,NA
"131",3900,13.12,0.0401769911504424
"132",3930,13.05,NA
"133",3960,13.01,NA
"134",3990,12.97,0.041592920353982
"135",4020,12.95,0.0423008849557519
"136",4050,12.91,0.0407079646017694
"137",4080,12.87,0.0399999999999995
"138",4110,12.85,0.0380530973451329
"139",4140,12.81,NA
"140",4170,12.76,0.0430088495575217
"141",4200,12.73,0.0394690265486725
"142",4230,12.68,0.0391150442477876
"143",4260,12.64,0.0396460176991146
"144",4290,12.6,0.0405309734513273
"145",4320,12.56,0.0353982300884956
"146",4350,12.53,0.0387610619469027
"147",4380,12.5,0.0407079646017694
"148",4410,12.47,0.0423008849557519
"149",4440,12.44,0.0428318584070796
"150",4470,12.39,0.0394690265486725
"151",4500,12.37,0.0408849557522122
"152",4530,12.35,0.0403539823008844
"153",4560,12.29,0.0405309734513273
"154",4590,12.28,0.0380530973451329
"155",4620,12.22,0.0396460176991146
"156",4650,12.2,0.0417699115044249
"157",4680,12.16,NA
"158",4710,12.11,NA
"159",4740,12.08,0.03787610619469
"160",4770,12.04,0.0405309734513273
"161",4800,12.03,0.0412389380530971
"162",4830,11.99,NA
"163",4860,11.97,0.0368141592920353
"164",4890,11.93,NA
"165",4920,11.89,0.0375221238938051
"166",4950,11.85,NA
"167",4980,11.82,NA
"168",5010,11.79,0.041592920353982
"169",5040,11.77,NA
"170",5070,11.76,NA
"171",5100,11.72,0.0391150442477876
"172",5130,11.67,0.0399999999999995
"173",5160,11.64,0.041946902654867
"174",5190,11.63,NA
"175",5220,11.62,NA
"176",5250,11.58,0.0389380530973448
"177",5280,11.55,NA
"178",5310,11.52,NA
"179",5340,11.5,NA
"180",5370,11.48,NA
"181",5400,11.45,0.0430088495575217
"182",5430,11.43,NA
"183",5460,11.38,NA
"184",5490,11.36,0.0408849557522122
"185",5520,11.34,0.0442477876106193
"186",5550,11.31,0.0382300884955749
"187",5580,11.29,NA
"188",5610,11.26,NA
"189",5640,11.23,NA
"190",5670,11.22,NA
"191",5700,11.19,NA
"192",5730,11.17,0.0382300884955749
"193",5760,11.13,0.0398230088495575
"194",5790,11.11,0.0384070796460178
"195",5820,11.09,0.0396460176991146
"196",5850,11.07,NA
"197",5880,11.07,0.0417699115044249
"198",5910,11.03,NA
"199",5940,11,NA
"200",5970,10.97,0.0392920353982297
"201",6000,10.95,NA
"202",6030,10.94,NA
"203",6060,10.91,0.0426548672566368
"204",6090,10.88,0.0398230088495575
"205",6120,10.85,NA
"206",6150,10.84,0.0405309734513273
"207",6180,10.83,NA
"208",6210,10.8,0.0373451327433623
"209",6240,10.76,NA
"210",6270,10.75,NA
"211",6300,10.71,0.0444247787610614
"212",6330,10.71,NA
"213",6360,10.7,NA
"214",6390,10.67,0.0371681415929202
"215",6420,10.66,NA
"216",6450,10.63,NA
"217",6480,10.61,NA
"218",6510,10.6,NA
"219",6540,10.6,0.0405309734513273
"220",6570,10.59,0.0424778761061947
"221",6600,10.58,0.0421238938053098
"222",6630,10.56,0.041946902654867
"223",6660,10.53,NA
"224",6690,10.53,0.0359292035398226
"225",6720,10.5,0.0444247787610614
"226",6750,10.49,0.0435398230088495
"227",6780,10.47,NA
"228",6810,10.45,NA
"229",6840,10.43,0.0407079646017694
"230",6870,10.42,0.0348672566371678
"231",6900,10.39,NA
"232",6930,10.38,NA
"233",6960,10.37,0.0417699115044249
"234",6990,10.35,0.0401769911504424
"235",7020,10.34,0.045132743362832
"236",7050,10.34,NA
"237",7080,10.31,0.0399999999999995
"238",7110,10.31,0.0424778761061947
"239",7140,10.29,0.0440707964601765
"240",7170,10.27,0.0428318584070796
"241",7200,10.26,NA
"242",7230,10.25,0.0435398230088495
"243",7260,10.22,NA
"244",7290,10.22,0.0403539823008844
"245",7320,10.2,0.0384070796460178
"246",7350,10.17,0.0396460176991146
"247",7380,10.15,0.0458407079646018
"248",7410,10.13,0.0424778761061947
"249",7440,10.11,0.0424778761061947
"250",7470,10.12,0.0424778761061947
"251",7500,10.1,0.0417699115044249
"252",7530,10.1,NA
"253",7560,10.09,0.0453097345132741
"254",7590,10.07,0.0403539823008844
"255",7620,10.03,NA
"256",7650,10.02,0.0401769911504424
"257",7680,10.01,0.041946902654867
"258",7710,10,NA
"259",7740,9.98,0.0371681415929202
"260",7770,9.98,0.0391150442477876
"261",7800,9.98,NA
"262",7830,9.95,0.0449557522123891
"263",7860,9.93,0.0401769911504424
"264",7890,9.91,NA
"265",7920,9.91,0.0412389380530971
"266",7950,9.9,0.0401769911504424
"267",7980,9.89,0.0366371681415924
"268",8010,9.87,0.0412389380530971
"269",8040,9.86,0.0392920353982297
"270",8070,9.85,0.0392920353982297
"271",8100,9.83,0.0412389380530971
"272",8130,9.83,0.0449557522123891
"273",8160,9.82,0.0424778761061947
"274",8190,9.79,0.0449557522123891
"275",8220,9.78,NA
"276",8250,9.78,0.0461946902654868
"277",8280,9.79,0.0433628318584066
"278",8310,9.75,NA
"279",8340,9.76,NA
"280",8370,9.73,0.0431858407079646
"281",8400,9.72,0.0399999999999995
"282",8430,9.69,0.0421238938053098
"283",8460,9.67,NA
"284",8490,9.67,NA
"285",8520,9.67,0.0382300884955749
"286",8550,9.66,0.0426548672566368
