"","hpv1","uptake"
"1",9.5,0.105484764411765
"2",9.6,0.105681748111111
"3",9.7,0.106306555833333
"4",9.8,0.106106494222222
"5",9.9,0.1064598338
"6",10,0.1065927976
"7",10.1,0.106361957333333
"8",10.2,0.10663434875
"9",10.3,0.10745152325
"10",10.4,0.10733518
"11",10.5,0.107645429333333
"12",10.6,0.1078227146
"13",10.7,0.107036011
"14",10.8,0.1078227146
"15",10.9,0.107922438
"16",11,0.107682363666667
"17",11.1,0.10842105275
"18",11.2,0.1086149585
"19",11.3,0.108956602
"20",11.4,0.108698061
"21",11.5,0.1092797785
"22",11.6,0.109159741333333
"23",11.7,0.1091135735
"24",11.8,0.109824561666667
"25",11.9,0.11033241
"26",12,0.109556787
"27",12.1,0.110433979666667
"28",12.2,0.110470914
"29",12.3,0.1101108035
"30",12.4,0.110138504
"31",12.5,0.1108864265
"32",12.6,0.109639889
"33",12.7,0.110969529
"34",12.8,0.1112742385
"35",12.9,0.109972299
"36",13,0.110692521
"37",13.1,0.111191136
"38",13.2,0.111800554
"39",13.3,0.111523546
"40",13.4,0.111191136
"41",13.6,0.111523546
"42",13.7,0.111246537
"43",13.9,0.111634349
"44",14.1,0.111523546
"45",14.3,0.111800554
"46",14.5,0.112077562
"47",14.8,0.112022161
"48",15.1,0.110969529
"49",15.3,0.111911357
"50",15.5,0.111024931
"51",15.8,0.111301939
"52",16.2,0.111578947
"53",16.4,0.112686981
"54",16.6,0.112797784
"55",17,0.112686981
"56",17.4,0.111911357
"57",17.7,0.112409972
"58",17.9,0.111966759
"59",18.2,0.111634349
"60",18.6,0.112908587
"61",18.9,0.111800554
"62",19.3,0.111855956
"63",19.7,0.112576177
"64",20.2,0.112797784
"65",20.6,0.112908587
"66",20.8,0.112576177
"67",21.2,0.112853186
"68",21.7,0.113850416
"69",22.1,0.111855956
"70",22.4,0.112908587
"71",22.9,0.112243767
"72",23.4,0.112576177
"73",23.9,0.112797784
"74",24.2,0.112576177
"75",24.6,0.112963989
"76",25.2,0.112243767
"77",25.8,0.112686981
"78",26.2,0.112409972
"79",26.7,0.111911357
"80",27.4,0.112797784
"81",28.1,0.112631579
"82",28.4,0.113795014
"83",28.7,0.115457064
"84",28.8,0.115077166714286
"85",28.9,0.11524930725
"86",29,0.115900277
"87",29.1,0.114099723
"88",29.2,0.1150415515
"89",29.3,0.1153739615
"90",29.4,0.114496768
"91",29.5,0.114404432
"92",29.6,0.1149861495
"93",29.7,0.114404432
"94",29.8,0.113160972722222
"95",29.9,0.11283010175
"96",30,0.114222398142857
"97",30.1,0.113644638
"98",30.2,0.113744648727273
"99",30.3,0.113102493
"100",30.4,0.114265928
"101",30.5,0.112686981
"102",30.6,0.114459833666667
"103",30.7,0.112603878
"104",30.9,0.116620499
"105",31.1,0.117451524
"106",31.3,0.116565097
"107",31.6,0.11767313
"108",31.9,0.117506925
"109",32.2,0.1166759
"110",32.5,0.117783934
"111",32.9,0.117783934
"112",33.2,0.117783934
"113",33.6,0.117894737
"114",34,0.117451524
"115",34.5,0.117950139
"116",34.9,0.11767313
"117",35.4,0.117119114
"118",35.9,0.118171745
"119",36.4,0.118614958
"120",37,0.118504155
"121",37.6,0.117562327
"122",38.2,0.117506925
"123",38.9,0.117396122
"124",39.5,0.119445983
"125",40.2,0.117728532
"126",41,0.118227147
"127",41.8,0.117617729
"128",42.5,0.11800554
"129",43.3,0.117285319
"130",44.1,0.117783934
"131",45,0.118891967
"132",46,0.117174515
"133",47,0.118060942
"134",47.9,0.119298245666667
"135",48,0.1206925205
"136",48.1,0.120193906
"137",48.2,0.120886427
"138",48.4,0.121052632
"139",48.5,0.1204155125
"140",48.6,0.120110803
"141",48.8,0.1194182825
"142",48.9,0.119390582
"143",49,0.118947368
"144",49.1,0.120498615
"145",49.2,0.11900277
"146",49.4,0.1189473685
"147",49.5,0.119686057
"148",49.6,0.117285319
"149",49.7,0.1189196675
"150",49.8,0.1185872575
"151",49.9,0.117979970153846
"152",50,0.118109825588235
"153",50.1,0.118203403285714
"154",50.2,0.119044321375
"155",50.3,0.118559556666667
"156",50.6,0.120720222
"157",50.7,0.118171745
"158",51.1,0.121551247
"159",51.7,0.118282548
"160",51.8,0.11867036
"161",52.5,0.121495845
"162",52.9,0.117728532
"163",53.3,0.1197783935
"164",53.9,0.12265928
"165",54.8,0.12166205
"166",55.7,0.12199446
"167",56.5,0.121052632
"168",57.1,0.122105263
"169",57.9,0.121883657
"170",58.6,0.122437673
"171",59.5,0.12299169
"172",60.3,0.121717452
"173",61,0.122770083
"174",61.8,0.121551247
"175",62.6,0.121883657
"176",63.2,0.122714681
"177",63.8,0.122216066
"178",64.2,0.122548476
"179",64.6,0.122271468
