"","time_s","uptake","hpv"
"1",0,0.121551246537396,98.98
"2",30,0.122548476454294,92.22
"3",60,NA,95.75
"4",90,0.123102493074792,91.22
"5",120,0.122991689750692,79.42
"6",150,0.123157894736842,74.03
"7",180,0.121939058171745,73.17
"8",210,NA,74.12
"9",240,0.123268698060942,76.36
"10",270,0.122548476454294,79.63
"11",300,0.122825484764543,83.6
"12",330,0.121939058171745,87.83
"13",360,NA,91.65
"14",390,0.12387811634349,94.6
"15",420,0.124653739612188,96.45
"16",450,0.124819944598338,97.22
"17",480,NA,97.79
"18",510,NA,98.12
"19",540,0.124819944598338,98.26
"20",570,0.124432132963989,98.12
"21",600,0.12398891966759,97.85
"22",630,NA,97.65
"23",660,NA,97.44
"24",690,0.125041551246537,97.37
"25",720,0.125927977839335,97.36
"26",750,0.125595567867036,97.35
"27",780,NA,97.07
"28",810,NA,96.73
"29",840,0.126204986149585,96.06
"30",870,0.126371191135734,94.67
"31",900,0.126038781163435,92.92
"32",930,NA,91.12
"33",960,NA,89.91
"34",990,0.126204986149585,88.8
"35",1020,0.125983379501385,87.92
"36",1050,0.125263157894737,87.53
"37",1080,NA,87.23
"38",1110,NA,87.32
"39",1140,0.126315789473684,87.28
"40",1170,0.125817174515236,87.24
"41",1200,0.126204986149585,87.03
"42",1230,NA,87.04
"43",1260,NA,87.45
"44",1290,0.126648199445984,87.96
"45",1320,0.126592797783933,88.65
"46",1350,0.126149584487535,89.36
"47",1380,NA,89.51
"48",1410,NA,89.72
"49",1440,0.125263157894737,90.05
"50",1470,0.126759002770083,90.27
"51",1500,0.125927977839335,90.4
"52",1530,NA,90.35
"53",1560,0.126648199445984,90.35
"54",1590,0.126371191135734,90.24
"55",1620,0.126925207756233,90.55
"56",1650,0.126315789473684,90.66
"57",1680,NA,90.53
"58",1710,0.126537396121884,90.42
"59",1740,0.126759002770083,90.56
"60",1770,0.12792243767313,90.29
"61",1800,0.126371191135734,90.05
"62",1830,NA,89.98
"63",1860,0.126149584487535,89.97
"64",1890,0.127590027700831,89.9
"65",1920,0.126038781163435,89.84
"66",1950,0.126925207756233,89.92
"67",1980,NA,89.8
"68",2010,0.126260387811634,89.84
"69",2040,0.126371191135734,89.9
"70",2070,0.126315789473684,89.87
"71",2100,0.127146814404432,90.06
"72",2130,NA,90.12
"73",2160,0.12819944598338,90.33
"74",2190,0.128421052631579,90.21
"75",2220,0.126703601108033,89.98
"76",2250,0.127091412742382,89.81
"77",2280,NA,90
"78",2310,0.127368421052632,90.07
"79",2340,0.127534626038781,90.04
"80",2370,0.128310249307479,90.18
"81",2400,0.127756232686981,90.13
"82",2430,NA,89.98
"83",2460,0.12814404432133,90.13
"84",2490,0.128476454293629,89.96
"85",2520,0.127423822714681,89.82
"86",2550,0.127257617728532,89.81
"87",2580,NA,89.97
"88",2610,0.126038781163435,89.75
"89",2640,0.127368421052632,89.8
"90",2670,0.12781163434903,89.88
"91",2700,0.127700831024931,89.99
"92",2730,NA,89.99
"93",2760,0.129362880886426,90.03
"94",2790,0.127534626038781,90.09
"95",2820,0.128421052631579,90.32
"96",2850,0.128365650969529,90.28
"97",2880,NA,89.92
"98",2910,0.128975069252078,89.84
"99",2940,0.127645429362881,90.03
"100",2970,0.127756232686981,89.94
"101",3000,0.128753462603878,89.95
"102",3030,NA,89.87
"103",3060,0.128919667590028,89.9
"104",3090,0.129085872576177,89.86
"105",3120,0.128698060941828,89.9
"106",3150,0.128476454293629,89.89
"107",3180,NA,89.85
"108",3210,0.127423822714681,89.94
"109",3240,0.127146814404432,90.02
"110",3270,0.126648199445984,90.06
"111",3300,0.128421052631579,89.99
"112",3330,NA,90.09
"113",3360,0.128476454293629,89.97
"114",3390,0.128642659279778,90.02
"115",3420,0.129085872576177,90.23
"116",3450,NA,90.06
"117",3480,NA,89.62
"118",3510,0.128531855955679,89.17
"119",3540,0.128864265927978,88.51
"120",3570,0.127257617728532,88.03
"121",3600,NA,87.36
"122",3630,NA,86.76
"123",3660,0.128587257617729,86.25
"124",3690,0.127202216066482,85.41
"125",3720,0.129030470914127,84.59
"126",3750,NA,83.66
"127",3780,NA,82.97
"128",3810,0.129196675900277,82.22
"129",3840,0.128476454293629,81.44
"130",3870,0.127479224376732,80.57
"131",3900,NA,79.71
"132",3930,NA,78.95
"133",3960,0.127368421052632,78.18
"134",3990,0.12803324099723,77.52
"135",4020,0.127257617728532,76.81
"136",4050,NA,76.18
"137",4080,NA,75.55
"138",4110,0.127756232686981,74.85
"139",4140,0.127368421052632,73.95
