HPV,uptake,uptake_error
9.81,0.063817097,0.087276342
9.82,0.063817097,0.087276342
9.84,0.061829026,0.08528827
9.89,0.05666004,0.080119284
9.9,0.059840954,0.083300199
9.91,0.059244533,0.082703777
9.93,0.059642147,0.083101392
9.95,0.056858847,0.080318091
9.98,0.055069583,0.078528827
10,0.05805169,0.081510934
10.03,0.059642147,0.083101392
10.06,0.06222664,0.085685885
10.07,0.063419483,0.086878728
10.08,0.061033797,0.084493042
10.1,0.067594433,0.091053678
10.13,0.064015905,0.087475149
10.14,0.064015905,0.087475149
10.15,0.064413519,0.087872763
10.18,0.065208748,0.088667992
10.21,0.066202783,0.089662028
10.27,0.070377734,0.093836978
10.29,0.071371769,0.094831014
10.29,0.070178926,0.093638171
10.29,0.070178926,0.093638171
10.3,0.069383698,0.092842942
10.39,0.076739563,0.100198807
10.41,0.073359841,0.096819085
10.44,0.07415507,0.097614314
10.45,0.077335984,0.100795229
10.49,0.074751491,0.098210736
10.58,0.075745527,0.099204771
10.59,0.076739563,0.100198807
10.61,0.081510934,0.104970179
10.64,0.084294235,0.107753479
10.66,0.084294235,0.107753479
10.73,0.085884692,0.109343936
10.77,0.086481113,0.109940358
10.8,0.090656064,0.114115308
10.81,0.094035785,0.11749503
10.83,0.093439364,0.116898608
10.92,0.095626243,0.119085487
10.94,0.100795229,0.124254473
10.95,0.101988072,0.125447316
10.95,0.0972167,0.120675944
10.99,0.099602386,0.12306163
11.03,0.105964215,0.129423459
11.12,0.1027833,0.126242545
11.15,0.108349901,0.131809145
11.19,0.107157058,0.130616302
11.2,0.108747515,0.132206759
11.24,0.11471173,0.138170974
11.33,0.119085487,0.142544732
11.36,0.118687873,0.142147117
11.39,0.123856859,0.147316103
11.42,0.120079523,0.143538767
11.46,0.128031809,0.151491054
11.55,0.127037773,0.150497018
11.58,0.135188867,0.158648111
11.63,0.13638171,0.159840954
11.68,0.139363817,0.162823062
11.72,0.142345924,0.165805169
11.85,0.143737575,0.167196819
11.89,0.144333996,0.167793241
11.94,0.145725646,0.169184891
11.98,0.148111332,0.171570577
12.03,0.150497018,0.173956262
12.12,0.160039761,0.183499006
12.15,0.162823062,0.186282306
12.18,0.167395626,0.190854871
12.23,0.167594433,0.191053678
12.28,0.16500994,0.188469185
12.33,0.172365805,0.19582505
12.47,0.180914513,0.204373757
12.52,0.18250497,0.205964215
12.56,0.181510934,0.204970179
12.59,0.182107356,0.2055666
12.62,0.181510934,0.204970179
12.76,0.191848907,0.215308151
12.83,0.195626243,0.219085487
12.86,0.199801193,0.223260437
12.88,0.196620278,0.220079523
12.95,0.203976143,0.227435388
