,hpv1,uptake
1,10,0.040642201
2,11,0.044043534
3,12,0.048099487
4,13,0.051537406
5,14,0.053860673
6,15,0.054381148
7,16,0.055410661
8,17,0.057035003
9,18,0.057412491
10,19,0.057584077
11,20,0.058888126
12,21,0.058750858
13,22,0.059643102
14,23,0.059917639
15,24,0.059643102
16,25,0.060695493
17,26,0.060809883
18,27,0.060466712
19,28,0.069543583
20,29,0.074609643
21,30,0.067823712
22,31,0.08266987
23,32,0.085072066
24,33,0.08596431
25,34,0.08620453
26,35,0.085037749
27,36,0.087302677
28,37,0.086341798
29,38,0.089224434
30,39,0.089807824
31,40,0.090185312
32,42,0.091901167
33,43,0.091557996
34,44,0.091695264
35,47,0.091763898
36,48,0.111089322
37,49,0.107438229
38,50,0.099820026
39,51,0.115065202
40,52,0.117227179
41,54,0.116952642
42,55,0.118531229
43,56,0.119972546
44,58,0.119354839
45,59,0.120796156
46,60,0.120761839
47,62,0.122031572
48,63,0.121757035
49,64,0.122614962
50,65,0.123531719
51,67,0.125188744
52,68,0.135175017
53,69,0.137591921
54,70,0.130314859
55,71,0.140837337
56,72,0.141180508
57,73,0.140940288
58,75,0.142004118
59,76,0.14245024
60,77,0.141935484
61,78,0.142072752
62,79,0.143033631
63,80,0.143582704
64,81,0.142004118
65,83,0.144269046
