hpv_4a,4a_filtech,hpv_mof-801,mof-801,hpv_alumina,alumina_filtech,hpv_mof-303,mof-303_1230_ntu,hpv_a520,a520_itri
9.5,0.105484764,9.39,0.253396524,10,0.040642201,85.53,0.391037736,10,0.065347913
9.6,0.105681748,9.4,0.257030016,11,0.044043534,83.73,0.392216981,11,0.100221746
9.7,0.106306556,9.41,0.238230648,12,0.048099487,83.19,0.391745283,12,0.152286282
9.8,0.106106494,9.43,0.242654028,13,0.051537406,82.32,0.392216981,13,0.198991764
9.9,0.106459834,9.44,0.256398104,14,0.053860673,79.61,0.390330189,14,0.243489066
10,0.106592798,9.44,0.2492891,15,0.054381148,78.76,0.389858491,15,0.2777833
10.1,0.106361957,9.44,0.235545024,16,0.055410661,77.74,0.391273585,16,0.299652087
10.2,0.106634349,9.45,0.246445498,17,0.057035003,76.57,0.38490566,17,0.310437376
10.3,0.107451523,9.47,0.256556082,18,0.057412491,74.01,0.387028302,18,0.319781312
10.4,0.10733518,9.48,0.24549763,19,0.057584077,72.62,0.387028302,19,0.325447316
10.5,0.107645429,9.48,0.240758294,20,0.058888126,70.99,0.391981132,20,0.332074221
10.6,0.107822715,9.48,0.256398104,21,0.058750858,69.45,0.382075472,21,0.336779324
10.7,0.107036011,9.49,0.254818325,22,0.059643102,66.31,0.381367925,23,0.347382372
10.8,0.107822715,9.5,0.241390205,23,0.059917639,64.45,0.383962264,24,0.350298211
10.9,0.107922438,9.51,0.248025276,24,0.059643102,62.84,0.383962264,26,0.356527502
11,0.107682364,9.52,0.255608215,25,0.060695493,61.19,0.379009434,27,0.355467197
11.1,0.108421053,9.52,0.241390205,26,0.060809883,57.91,0.379716981,28,0.357256461
11.2,0.108614959,9.55,0.245971564,27,0.060466712,56.21,0.382311321,29,0.363419483
11.3,0.108956602,9.57,0.247551343,28,0.069543583,54.58,0.378066038,30,0.365506958
11.4,0.108698061,9.57,0.244075829,29,0.074609643,52.96,0.378773585,31,0.369582505
11.5,0.109279779,9.57,0.259083728,30,0.067823712,50.07,0.378537736,32,0.369383698
11.6,0.109159741,9.57,0.253396524,31,0.08266987,48.67,0.37240566,33,0.370974155
11.7,0.109113574,9.59,0.255450237,32,0.085072066,47.48,0.37759434,34,0.372564612
11.8,0.109824562,9.61,0.255450237,33,0.08596431,46.43,0.373113208,35,0.371570577
11.9,0.11033241,9.63,0.253080569,34,0.08620453,43.75,0.371226415,36,0.371272366
12,0.109556787,9.65,0.251974724,35,0.085037749,43.07,0.366509434,37,0.375785288
12.1,0.11043398,9.65,0.259399684,36,0.087302677,42.34,0.371698113,38,0.376441352
12.2,0.110470914,9.66,0.261769352,37,0.086341798,40.76,0.368160377,39,0.377062624
12.3,0.110110804,9.68,0.264454976,38,0.089224434,40.21,0.373349057,40,0.375452548
12.4,0.110138504,9.7,0.257819905,39,0.089807824,39.84,0.371462264,41,0.375922244
12.5,0.110886427,9.72,0.264454976,40,0.090185312,39.48,0.369811321,42,0.384652087
12.6,0.109639889,9.75,0.257503949,42,0.091901167,38.7,0.363679245,43,0.391749503
12.7,0.110969529,9.77,0.263665087,43,0.091557996,38.49,0.369811321,44,0.409940358
12.8,0.111274239,9.77,0.26793049,44,0.091695264,38.33,0.370283019,45,0.415308151
12.9,0.109972299,9.78,0.269826224,47,0.091763898,38.06,0.355660377,47,0.422664016
13,0.110692521,9.78,0.250394945,48,0.111089322,37.77,0.370990566,48,0.423658052
13.1,0.111191136,9.79,0.257977883,49,0.107438229,37.6,0.36745283,49,0.427236581
13.2,0.111800554,9.79,0.258293839,50,0.099820026,37.56,0.367688679,50,0.435188867
13.3,0.111523546,9.81,0.259557662,51,0.115065202,37.46,0.365566038,51,0.435785288
13.4,0.111191136,9.84,0.25971564,52,0.117227179,37.43,0.365566038,56,0.448906561
13.6,0.111523546,9.84,0.263507109,54,0.116952642,37.4,0.365330189,57,0.448111332
13.7,0.111246537,9.86,0.262243286,55,0.118531229,37.45,0.365801887,59,0.452882704
13.9,0.111634349,9.88,0.267456556,56,0.119972546,37.52,0.361792453,60,0.456063618
14.1,0.111523546,9.91,0.269668246,58,0.119354839,37.65,0.366273585,62,0.458846918
14.3,0.111800554,9.92,0.273301738,59,0.120796156,37.7,0.36509434,67,0.470775348
14.5,0.112077562,9.92,0.267456556,60,0.120761839,37.86,0.366273585,68,0.475347913
14.8,0.112022161,9.94,0.269352291,62,0.122031572,37.98,0.365801887,70,0.475149105
15.1,0.110969529,9.96,0.268720379,63,0.121757035,38.61,0.366981132,71,0.472962227
15.3,0.111911357,9.99,0.258609795,64,0.122614962,38.72,0.361792453,73,0.481908549
15.5,0.111024931,10.01,0.26192733,65,0.123531719,38.85,0.366037736,76,0.488270378
15.8,0.111301939,10.04,0.268720379,67,0.125188744,39.22,0.365801887,77,0.486878728
16.2,0.111578947,10.07,0.27235387,68,0.135175017,39.52,0.361792453,78,0.487872763
16.4,0.112686981,10.09,0.266982622,69,0.137591921,39.83,0.369103774,79,0.486481113
16.6,0.112797784,10.12,0.268404423,70,0.130314859,39.95,0.368396226,80,0.489065606
17,0.112686981,10.16,0.263191153,71,0.140837337,39.97,0.365566038,83,0.496222664
17.4,0.111911357,10.17,0.264139021,72,0.141180508,40.15,0.36509434,84,0.497117296
17.7,0.112409972,10.21,0.271090047,73,0.140940288,40.24,0.366037736,85,0.49582505
17.9,0.111966759,10.24,0.271563981,75,0.142004118,40.31,0.370754717,86,0.494234592
18.2,0.111634349,10.26,0.27014218,76,0.14245024,40.44,0.366509434,89,0.497614314
18.6,0.112908587,10.26,0.278041074,77,0.141935484,40.55,0.365566038,,
18.9,0.111800554,10.26,0.272985782,78,0.142072752,40.56,0.368396226,,
19.3,0.111855956,10.28,0.267456556,79,0.143033631,40.6,0.368867925,,
19.7,0.112576177,10.3,0.274565561,80,0.143582704,40.52,0.36745283,,
20.2,0.112797784,10.31,0.278041074,81,0.142004118,40.48,0.369575472,,
20.6,0.112908587,10.32,0.273617694,83,0.144269046,40.37,0.372169811,,
20.8,0.112576177,10.36,0.278041074,,,40.34,0.372877358,,
21.2,0.112853186,10.37,0.27614534,,,40.42,0.365801887,,
21.7,0.113850416,10.39,0.274565561,,,40.34,0.37004717,,
22.1,0.111855956,10.42,0.285781991,,,40.32,0.36745283,,
22.4,0.112908587,10.46,0.279304897,,,40.4,0.369339623,,
22.9,0.112243767,10.46,0.278041074,,,40.18,0.370754717,,
23.4,0.112576177,10.48,0.280726698,,,40.15,0.367924528,,
